"","Geo_FIPS","cluster"
"1",6001400100,1
"2",6001400200,1
"3",6001400300,2
"4",6001400400,2
"5",6001400500,3
"6",6001400600,3
"7",6001400700,3
"8",6001400800,3
"9",6001400900,3
"10",6001401000,3
"11",6001401100,3
"12",6001401200,2
"13",6001401300,4
"14",6001401400,3
"15",6001401500,3
"16",6001401600,3
"17",6001401700,5
"18",6001401800,3
"19",6001402200,3
"20",6001402400,6
"21",6001402500,6
"22",6001402600,7
"23",6001402700,3
"24",6001402800,4
"25",6001402900,4
"26",6001403000,7
"27",6001403100,4
"28",6001403300,5
"29",6001403400,4
"30",6001403501,5
"31",6001403502,5
"32",6001403600,5
"33",6001403701,5
"34",6001403702,5
"35",6001403800,2
"36",6001403900,5
"37",6001404000,5
"38",6001404101,2
"39",6001404102,5
"40",6001404200,1
"41",6001404300,1
"42",6001404400,1
"43",6001404501,1
"44",6001404502,1
"45",6001404600,1
"46",6001404700,1
"47",6001404800,2
"48",6001404900,2
"49",6001405000,1
"50",6001405100,1
"51",6001405200,2
"52",6001405301,5
"53",6001405302,4
"54",6001405401,4
"55",6001405402,4
"56",6001405500,8
"57",6001405600,3
"58",6001405700,3
"59",6001405800,8
"60",6001405901,8
"61",6001405902,8
"62",6001406000,4
"63",6001406100,9
"64",6001406201,8
"65",6001406202,6
"66",6001406300,8
"67",6001406400,3
"68",6001406500,8
"69",6001406601,3
"70",6001406602,8
"71",6001406700,10
"72",6001406800,10
"73",6001406900,3
"74",6001407000,8
"75",6001407101,6
"76",6001407102,6
"77",6001407200,6
"78",6001407300,9
"79",6001407400,6
"80",6001407500,6
"81",6001407600,3
"82",6001407700,3
"83",6001407800,3
"84",6001407900,10
"85",6001408000,10
"86",6001408100,10
"87",6001408200,3
"88",6001408300,3
"89",6001408400,6
"90",6001408500,6
"91",6001408600,6
"92",6001408700,6
"93",6001408800,6
"94",6001408900,6
"95",6001409000,6
"96",6001409100,6
"97",6001409200,6
"98",6001409300,6
"99",6001409400,6
"100",6001409500,6
"101",6001409600,6
"102",6001409700,6
"103",6001409800,3
"104",6001409900,3
"105",6001410000,3
"106",6001410100,3
"107",6001410200,6
"108",6001410300,6
"109",6001410400,6
"110",6001410500,6
"111",6001420100,1
"112",6001420200,2
"113",6001420300,2
"115",6001420500,2
"116",6001420600,1
"117",6001421100,1
"118",6001421200,1
"119",6001421300,1
"120",6001421400,1
"121",6001421500,1
"122",6001421600,1
"123",6001421700,5
"124",6001421800,1
"125",6001421900,1
"126",6001422000,5
"127",6001422100,2
"128",6001422200,5
"129",6001422300,5
"130",6001422400,11
"131",6001422500,5
"133",6001422700,4
"134",6001422800,4
"135",6001422900,11
"136",6001423000,5
"137",6001423100,2
"138",6001423200,3
"139",6001423300,3
"140",6001423400,2
"141",6001423500,3
"142",6001423601,5
"143",6001423602,11
"144",6001423700,5
"145",6001423800,1
"146",6001423901,2
"147",6001423902,2
"148",6001424001,3
"149",6001424002,3
"150",6001425101,5
"151",6001425102,5
"152",6001425103,5
"153",6001425104,5
"154",6001426100,1
"155",6001426200,1
"156",6001427100,1
"157",6001427200,2
"158",6001427300,12
"159",6001427600,4
"160",6001427700,2
"161",6001427800,2
"162",6001427900,2
"163",6001428000,5
"164",6001428100,10
"165",6001428200,10
"166",6001428301,13
"167",6001428302,13
"168",6001428400,2
"169",6001428500,5
"170",6001428600,5
"171",6001428700,10
"172",6001430101,10
"173",6001430102,10
"174",6001430200,10
"175",6001430300,10
"176",6001430400,10
"177",6001430500,12
"178",6001430600,10
"179",6001430700,14
"180",6001430800,10
"181",6001430900,12
"182",6001431000,9
"183",6001431100,12
"184",6001431200,12
"185",6001432100,10
"186",6001432200,3
"187",6001432300,12
"188",6001432400,9
"189",6001432501,12
"190",6001432502,12
"191",6001432600,12
"192",6001432700,10
"193",6001432800,10
"194",6001433000,12
"195",6001433102,12
"196",6001433103,6
"197",6001433104,12
"198",6001433200,12
"199",6001433300,12
"200",6001433400,10
"201",6001433500,12
"202",6001433600,12
"203",6001433700,9
"204",6001433800,9
"205",6001433900,6
"206",6001434000,6
"207",6001435102,10
"208",6001435103,13
"209",6001435104,9
"210",6001435200,12
"211",6001435300,9
"212",6001435400,12
"213",6001435500,9
"214",6001435601,9
"215",6001435602,6
"216",6001435700,12
"217",6001435800,12
"219",6001436000,12
"220",6001436100,12
"221",6001436200,6
"222",6001436300,9
"223",6001436401,12
"224",6001436402,10
"225",6001436500,9
"226",6001436601,9
"227",6001436602,9
"228",6001436700,9
"229",6001436800,9
"230",6001436900,9
"231",6001437000,12
"232",6001437101,10
"233",6001437102,12
"234",6001437200,10
"235",6001437300,9
"236",6001437400,9
"237",6001437500,6
"238",6001437600,9
"239",6001437701,6
"240",6001437702,6
"241",6001437800,10
"242",6001437900,9
"243",6001438000,12
"244",6001438100,12
"245",6001438201,9
"246",6001438203,10
"247",6001438204,10
"248",6001438300,9
"249",6001438400,12
"250",6001440100,12
"251",6001440200,9
"252",6001440301,12
"253",6001440304,10
"255",6001440306,10
"256",6001440307,12
"257",6001440308,10
"258",6001440331,10
"260",6001440333,10
"261",6001440334,10
"262",6001440335,10
"263",6001440336,12
"264",6001441100,10
"265",6001441200,10
"266",6001441301,10
"267",6001441302,10
"268",6001441401,10
"269",6001441402,10
"270",6001441501,13
"271",6001441503,13
"272",6001441521,13
"273",6001441522,10
"274",6001441523,10
"275",6001441524,13
"276",6001441601,12
"277",6001441602,10
"278",6001441700,10
"279",6001441800,10
"280",6001441921,10
"281",6001441923,5
"282",6001441924,10
"283",6001441925,15
"284",6001441926,9
"285",6001441927,15
"286",6001442000,13
"287",6001442100,13
"288",6001442200,13
"289",6001442301,12
"290",6001442302,10
"291",6001442400,12
"292",6001442500,12
"293",6001442601,10
"294",6001442602,12
"295",6001442700,10
"296",6001442800,10
"297",6001442900,10
"298",6001443001,10
"299",6001443002,10
"300",6001443102,13
"301",6001443103,13
"302",6001443104,13
"303",6001443105,13
"304",6001443200,13
"305",6001443301,13
"306",6001443321,10
"307",6001443322,13
"308",6001444100,10
"309",6001444200,10
"310",6001444301,10
"311",6001444302,9
"312",6001444400,9
"313",6001444500,10
"314",6001444601,10
"315",6001444602,10
"316",6001450101,10
"317",6001450102,10
"318",6001450200,10
"319",6001450300,10
"320",6001450400,10
"321",6001450501,10
"322",6001450502,10
"323",6001450601,10
"324",6001450602,10
"325",6001450603,10
"326",6001450604,10
"327",6001450605,10
"328",6001450606,10
"329",6001450607,2
"330",6001450701,1
"331",6001450741,10
"332",6001450742,10
"333",6001450743,10
"334",6001450744,10
"335",6001450745,13
"336",6001450746,12
"337",6001450750,5
"338",6001450751,13
"340",6001451101,10
"341",6001451102,1
"342",6001451201,10
"343",6001451202,10
"344",6001451300,10
"345",6001451401,10
"346",6001451403,10
"347",6001451404,9
"348",6001451501,10
"349",6001451503,10
"350",6001451504,10
"351",6001451505,1
"352",6001451506,12
"353",6001451601,10
"354",6001451602,10
"356",6001451703,10
"357",6001451704,14
"362",6013301000,12
"363",6013302005,12
"364",6013302006,10
"365",6013302007,12
"366",6013302008,10
"367",6013302009,12
"368",6013302010,10
"369",6013303102,10
"370",6013303103,12
"371",6013303201,10
"372",6013303202,10
"373",6013303203,10
"374",6013303204,12
"375",6013303205,10
"376",6013304001,10
"377",6013304002,12
"378",6013304003,10
"379",6013304004,14
"380",6013304005,10
"381",6013305000,3
"382",6013306002,12
"383",6013306003,3
"384",6013306004,12
"385",6013307101,12
"386",6013307102,9
"387",6013307201,3
"388",6013307202,6
"389",6013307204,12
"390",6013307205,9
"391",6013308001,12
"392",6013308002,10
"393",6013309000,12
"394",6013310000,6
"395",6013311000,6
"396",6013312000,9
"397",6013313101,6
"398",6013313102,12
"399",6013313103,12
"400",6013313203,12
"401",6013313204,9
"403",6013313206,6
"404",6013314102,9
"405",6013314103,6
"406",6013314104,6
"407",6013314200,9
"408",6013315000,10
"409",6013316000,3
"410",6013317000,3
"411",6013318000,14
"412",6013319000,3
"413",6013320001,12
"414",6013320003,10
"415",6013320004,10
"416",6013321101,12
"417",6013321102,10
"418",6013321103,10
"419",6013321200,5
"420",6013322000,10
"421",6013323000,14
"422",6013324001,5
"423",6013324002,2
"424",6013325000,14
"425",6013326000,14
"426",6013327000,12
"427",6013328000,5
"428",6013329000,3
"429",6013330000,3
"430",6013331000,3
"431",6013332000,10
"432",6013333101,3
"433",6013333102,10
"434",6013333200,12
"435",6013334001,3
"436",6013334004,12
"438",6013334200,1
"439",6013335000,3
"440",6013336101,6
"441",6013336102,6
"442",6013336201,9
"443",6013336202,6
"444",6013337100,10
"445",6013337200,3
"446",6013337300,1
"447",6013338101,9
"448",6013338102,10
"449",6013338201,1
"450",6013338203,2
"451",6013338204,2
"452",6013338301,1
"453",6013338302,1
"454",6013339001,5
"455",6013339002,5
"456",6013340001,10
"457",6013340002,1
"458",6013341000,14
"459",6013343001,10
"460",6013343002,1
"461",6013343003,1
"462",6013345101,10
"463",6013345102,10
"464",6013345103,14
"465",6013345105,1
"466",6013345108,13
"467",6013345111,10
"468",6013345112,10
"469",6013345113,1
"470",6013345114,1
"471",6013345115,1
"472",6013345116,13
