,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,2.06,2.06,2.31,2.31,2.31,2.31,2.31,3,3,3,3,3,3,3
2,2.06,0,2,2.31,2.31,2.31,2.31,2.31,3,3,3,3,3,3,3
3,2.06,2,0,2.31,2.31,2.31,2.31,2.31,3,3,3,3,3,3,3
4,2.31,2.31,2.31,0,1.85,1.85,2.14,2.14,3,3,3,3,3,3,3
5,2.31,2.31,2.31,1.85,0,1.8,2.14,2.14,3,3,3,3,3,3,3
6,2.31,2.31,2.31,1.85,1.8,0,2.14,2.14,3,3,3,3,3,3,3
7,2.31,2.31,2.31,2.14,2.14,2.14,0,2.06,3,3,3,3,3,3,3
8,2.31,2.31,2.31,2.14,2.14,2.14,2.06,0,3,3,3,3,3,3,3
9,3,3,3,3,3,3,3,3,0,2.07,2.07,2.63,2.63,2.63,2.63
10,3,3,3,3,3,3,3,3,2.07,0,1.91,2.63,2.63,2.63,2.63
11,3,3,3,3,3,3,3,3,2.07,1.91,0,2.63,2.63,2.63,2.63
12,3,3,3,3,3,3,3,3,2.63,2.63,2.63,0,2.24,2.24,2.24
13,3,3,3,3,3,3,3,3,2.63,2.63,2.63,2.24,0,1.96,1.96
14,3,3,3,3,3,3,3,3,2.63,2.63,2.63,2.24,1.96,0,1.92
15,3,3,3,3,3,3,3,3,2.63,2.63,2.63,2.24,1.96,1.92,0
