"","Geo_FIPS","year","cluster"
"1",6001400100,2000,1
"2",6001400200,2000,1
"3",6001400300,2000,1
"4",6001400400,2000,1
"5",6001400500,2000,2
"6",6001400600,2000,3
"7",6001400700,2000,3
"8",6001400800,2000,3
"9",6001400900,2000,3
"10",6001401000,2000,3
"11",6001401100,2000,2
"12",6001401200,2000,2
"13",6001401300,2000,3
"14",6001401400,2000,3
"15",6001401500,2000,3
"16",6001401600,2000,3
"17",6001401700,2000,3
"18",6001401800,2000,3
"19",6001402100,2000,3
"20",6001402200,2000,3
"21",6001402400,2000,3
"22",6001402500,2000,3
"23",6001402700,2000,3
"24",6001402800,2000,4
"25",6001402900,2000,4
"26",6001403000,2000,5
"27",6001403100,2000,6
"28",6001403300,2000,5
"29",6001403400,2000,2
"30",6001403500,2000,2
"31",6001403600,2000,2
"32",6001403700,2000,2
"33",6001403800,2000,1
"34",6001403900,2000,2
"35",6001404000,2000,2
"36",6001404100,2000,7
"37",6001404200,2000,1
"38",6001404300,2000,1
"39",6001404400,2000,1
"40",6001404501,2000,1
"41",6001404502,2000,1
"42",6001404600,2000,1
"43",6001404700,2000,1
"44",6001404800,2000,1
"45",6001404900,2000,1
"46",6001405000,2000,1
"47",6001405100,2000,1
"48",6001405200,2000,7
"49",6001405300,2000,2
"50",6001405400,2000,3
"51",6001405500,2000,3
"52",6001405600,2000,3
"53",6001405700,2000,3
"54",6001405800,2000,3
"55",6001405900,2000,3
"56",6001406000,2000,3
"57",6001406100,2000,6
"58",6001406201,2000,6
"59",6001406202,2000,6
"60",6001406300,2000,3
"61",6001406400,2000,3
"62",6001406500,2000,3
"63",6001406600,2000,3
"64",6001406700,2000,1
"65",6001406800,2000,1
"66",6001406900,2000,1
"67",6001407000,2000,3
"68",6001407100,2000,3
"69",6001407200,2000,6
"70",6001407300,2000,3
"71",6001407400,2000,3
"72",6001407500,2000,3
"73",6001407600,2000,3
"74",6001407700,2000,3
"75",6001407800,2000,3
"76",6001407900,2000,1
"77",6001408000,2000,1
"78",6001408100,2000,8
"79",6001408200,2000,3
"80",6001408300,2000,3
"81",6001408400,2000,3
"82",6001408500,2000,3
"83",6001408600,2000,3
"84",6001408700,2000,3
"85",6001408800,2000,3
"86",6001408900,2000,3
"87",6001409000,2000,3
"88",6001409100,2000,3
"89",6001409200,2000,3
"90",6001409300,2000,3
"91",6001409400,2000,3
"92",6001409500,2000,3
"93",6001409600,2000,3
"94",6001409700,2000,3
"95",6001409800,2000,3
"96",6001409900,2000,8
"97",6001410000,2000,8
"98",6001410100,2000,3
"99",6001410200,2000,3
"100",6001410300,2000,3
"101",6001410400,2000,3
"102",6001420100,2000,1
"103",6001420200,2000,7
"104",6001420300,2000,9
"105",6001420400,2000,10
"106",6001420500,2000,7
"107",6001420600,2000,1
"108",6001421100,2000,1
"109",6001421200,2000,1
"110",6001421300,2000,1
"111",6001421400,2000,1
"112",6001421500,2000,1
"113",6001421600,2000,1
"114",6001421700,2000,7
"115",6001421800,2000,1
"116",6001421900,2000,1
"117",6001422000,2000,2
"118",6001422100,2000,2
"119",6001422200,2000,2
"120",6001422300,2000,7
"121",6001422400,2000,10
"122",6001422500,2000,10
"123",6001422700,2000,10
"124",6001422800,2000,10
"125",6001422900,2000,10
"126",6001423000,2000,7
"127",6001423100,2000,2
"128",6001423200,2000,2
"129",6001423300,2000,3
"130",6001423400,2000,2
"131",6001423500,2000,2
"132",6001423601,2000,7
"133",6001423602,2000,10
"134",6001423700,2000,7
"135",6001423800,2000,1
"136",6001423901,2000,2
"137",6001423902,2000,7
"138",6001424001,2000,2
"139",6001424002,2000,3
"140",6001425100,2000,7
"141",6001426100,2000,1
"142",6001426200,2000,1
"143",6001427100,2000,1
"144",6001427200,2000,11
"145",6001427300,2000,9
"146",6001427400,2000,12
"147",6001427600,2000,3
"148",6001427700,2000,9
"149",6001427800,2000,1
"150",6001427900,2000,1
"151",6001428000,2000,7
"152",6001428100,2000,13
"153",6001428200,2000,13
"154",6001428301,2000,1
"155",6001428302,2000,14
"156",6001428400,2000,7
"157",6001428500,2000,9
"158",6001428600,2000,9
"159",6001430100,2000,8
"160",6001430200,2000,1
"161",6001430300,2000,1
"162",6001430400,2000,1
"163",6001430500,2000,8
"164",6001430600,2000,8
"165",6001430700,2000,1
"166",6001430800,2000,13
"167",6001430900,2000,15
"168",6001431000,2000,15
"169",6001431100,2000,15
"170",6001431200,2000,13
"171",6001432100,2000,8
"172",6001432200,2000,1
"173",6001432300,2000,6
"174",6001432400,2000,6
"175",6001432500,2000,8
"176",6001432600,2000,6
"177",6001432700,2000,8
"178",6001432800,2000,8
"179",6001433000,2000,8
"180",6001433101,2000,6
"181",6001433102,2000,8
"182",6001433200,2000,6
"183",6001433300,2000,8
"184",6001433400,2000,9
"185",6001433500,2000,8
"186",6001433600,2000,8
"187",6001433700,2000,6
"188",6001433800,2000,6
"189",6001433900,2000,3
"190",6001434000,2000,3
"191",6001435101,2000,8
"192",6001435102,2000,14
"193",6001435200,2000,8
"194",6001435300,2000,8
"195",6001435400,2000,6
"196",6001435500,2000,6
"197",6001435600,2000,6
"198",6001435700,2000,8
"199",6001435800,2000,8
"200",6001435900,2000,8
"201",6001436000,2000,8
"202",6001436100,2000,8
"203",6001436200,2000,3
"204",6001436300,2000,6
"205",6001436401,2000,8
"206",6001436402,2000,8
"207",6001436500,2000,6
"208",6001436601,2000,3
"209",6001436602,2000,6
"210",6001436700,2000,6
"211",6001436800,2000,6
"212",6001436900,2000,3
"213",6001437000,2000,8
"214",6001437100,2000,6
"215",6001437200,2000,6
"216",6001437300,2000,8
"217",6001437400,2000,8
"218",6001437500,2000,6
"219",6001437600,2000,6
"220",6001437700,2000,6
"221",6001437800,2000,8
"222",6001437900,2000,6
"223",6001438000,2000,8
"224",6001438100,2000,8
"225",6001438201,2000,6
"226",6001438202,2000,6
"227",6001438300,2000,11
"228",6001438400,2000,8
"229",6001440100,2000,8
"230",6001440200,2000,6
"231",6001440301,2000,6
"232",6001440302,2000,9
"233",6001440304,2000,9
"234",6001440305,2000,9
"235",6001440306,2000,9
"236",6001440307,2000,6
"237",6001440308,2000,6
"238",6001440309,2000,9
"239",6001440331,2000,6
"240",6001440332,2000,14
"241",6001441100,2000,8
"242",6001441200,2000,1
"243",6001441301,2000,9
"244",6001441302,2000,1
"245",6001441401,2000,9
"246",6001441402,2000,9
"247",6001441501,2000,14
"248",6001441503,2000,14
"249",6001441521,2000,14
"250",6001441522,2000,9
"251",6001441601,2000,8
"252",6001441602,2000,8
"253",6001441700,2000,6
"254",6001441800,2000,8
"255",6001441901,2000,9
"256",6001441921,2000,6
"257",6001441922,2000,9
"258",6001441923,2000,15
"259",6001442000,2000,14
"260",6001442100,2000,14
"261",6001442200,2000,1
"262",6001442300,2000,15
"263",6001442400,2000,8
"264",6001442500,2000,8
"265",6001442600,2000,1
"266",6001442700,2000,8
"267",6001442800,2000,1
"268",6001442900,2000,1
"269",6001443001,2000,8
"270",6001443002,2000,8
"271",6001443101,2000,14
"272",6001443102,2000,14
"273",6001443103,2000,14
"274",6001443200,2000,14
"275",6001443301,2000,14
"276",6001443302,2000,9
"277",6001444100,2000,8
"278",6001444200,2000,8
"279",6001444300,2000,6
"280",6001444400,2000,6
"281",6001444500,2000,6
"282",6001444600,2000,9
"283",6001450100,2000,13
"284",6001450200,2000,15
"285",6001450300,2000,8
"286",6001450400,2000,8
"287",6001450500,2000,8
"288",6001450601,2000,1
"289",6001450602,2000,8
"290",6001450603,2000,8
"291",6001450604,2000,8
"292",6001450605,2000,8
"293",6001450606,2000,8
"294",6001450607,2000,15
"295",6001450701,2000,1
"296",6001450703,2000,8
"297",6001450722,2000,8
"298",6001450741,2000,13
"299",6001450742,2000,8
"300",6001451101,2000,8
"301",6001451102,2000,8
"302",6001451201,2000,8
"303",6001451202,2000,8
"304",6001451300,2000,8
"305",6001451401,2000,8
"306",6001451402,2000,13
"307",6001451501,2000,13
"308",6001451502,2000,8
"309",6001451503,2000,1
"310",6001451601,2000,8
"311",6001451602,2000,13
"312",6001451701,2000,1
"313",6001451702,2000,8
"314",6013301000,2000,13
"315",6013302002,2000,13
"316",6013302003,2000,13
"317",6013302004,2000,8
"318",6013303100,2000,13
"319",6013303200,2000,8
"320",6013304000,2000,8
"321",6013305000,2000,13
"322",6013306001,2000,13
"323",6013306002,2000,13
"324",6013307101,2000,13
"325",6013307102,2000,13
"326",6013307201,2000,13
"327",6013307202,2000,3
"328",6013307204,2000,13
"329",6013307205,2000,8
"330",6013308001,2000,13
"331",6013308002,2000,8
"332",6013309000,2000,8
"333",6013310000,2000,3
"334",6013311000,2000,3
"335",6013312000,2000,3
"336",6013313101,2000,6
"337",6013313102,2000,8
"338",6013313103,2000,8
"339",6013313201,2000,6
"340",6013313202,2000,8
"341",6013314102,2000,6
