"","Geo_FIPS","cluster"
"1",6001400100,1
"2",6001400200,1
"3",6001400300,2
"4",6001400400,3
"5",6001400500,2
"6",6001400600,2
"7",6001400700,4
"8",6001400800,2
"9",6001400900,2
"10",6001401000,4
"11",6001401100,2
"12",6001401200,2
"13",6001401300,4
"14",6001401400,4
"15",6001401500,4
"16",6001401600,4
"17",6001401700,4
"18",6001401800,4
"19",6001402200,4
"20",6001402400,4
"21",6001402500,4
"22",6001402600,5
"23",6001402700,4
"24",6001402800,4
"25",6001402900,5
"26",6001403000,5
"27",6001403100,5
"28",6001403300,5
"29",6001403400,5
"30",6001403501,5
"31",6001403502,6
"32",6001403600,6
"33",6001403701,6
"34",6001403702,6
"35",6001403800,2
"36",6001403900,2
"37",6001404000,6
"38",6001404101,2
"39",6001404102,6
"40",6001404200,1
"41",6001404300,1
"42",6001404400,1
"43",6001404501,1
"44",6001404502,1
"45",6001404600,1
"46",6001404700,7
"47",6001404800,2
"48",6001404900,2
"49",6001405000,7
"50",6001405100,1
"51",6001405200,2
"52",6001405301,6
"53",6001405302,5
"54",6001405401,4
"55",6001405402,4
"56",6001405500,4
"57",6001405600,4
"58",6001405700,4
"59",6001405800,4
"60",6001405901,4
"61",6001405902,4
"62",6001406000,4
"63",6001406100,4
"64",6001406201,4
"65",6001406202,4
"66",6001406300,4
"67",6001406400,2
"68",6001406500,4
"69",6001406601,4
"70",6001406602,4
"71",6001406700,2
"72",6001406800,2
"73",6001406900,2
"74",6001407000,4
"75",6001407101,4
"76",6001407102,4
"77",6001407200,4
"78",6001407300,4
"79",6001407400,4
"80",6001407500,4
"81",6001407600,4
"82",6001407700,8
"83",6001407800,8
"84",6001407900,2
"85",6001408000,1
"86",6001408100,7
"87",6001408200,8
"88",6001408300,8
"89",6001408400,4
"90",6001408500,4
"91",6001408600,4
"92",6001408700,4
"93",6001408800,4
"94",6001408900,4
"95",6001409000,4
"96",6001409100,4
"97",6001409200,4
"98",6001409300,4
"99",6001409400,4
"100",6001409500,4
"101",6001409600,4
"102",6001409700,4
"103",6001409800,8
"104",6001409900,7
"105",6001410000,8
"106",6001410100,4
"107",6001410200,4
"108",6001410300,4
"109",6001410400,4
"110",6001410500,4
"111",6001420100,1
"112",6001420200,3
"113",6001420300,2
"114",6001420400,6
"115",6001420500,2
"116",6001420600,1
"117",6001421100,1
"118",6001421200,1
"119",6001421300,1
"120",6001421400,1
"121",6001421500,1
"122",6001421600,1
"123",6001421700,3
"124",6001421800,1
"125",6001421900,7
"126",6001422000,2
"127",6001422100,2
"128",6001422200,2
"129",6001422300,2
"130",6001422400,6
"131",6001422500,6
"132",6001422600,2
"133",6001422700,6
"134",6001422800,6
"135",6001422900,6
"136",6001423000,2
"137",6001423100,2
"138",6001423200,2
"139",6001423300,2
"140",6001423400,2
"141",6001423500,2
"142",6001423601,3
"143",6001423602,6
"144",6001423700,3
"145",6001423800,1
"146",6001423901,2
"147",6001423902,3
"148",6001424001,2
"149",6001424002,4
"150",6001425101,3
"151",6001425102,3
"152",6001425103,2
"153",6001425104,2
"154",6001426100,1
"155",6001426200,1
"156",6001427100,1
"157",6001427200,2
"158",6001427300,2
"159",6001427600,4
"160",6001427700,2
"161",6001427800,2
"162",6001427900,2
"163",6001428000,6
"164",6001428100,7
"165",6001428200,2
"166",6001428301,7
"167",6001428302,1
"168",6001428400,2
"169",6001428500,2
"170",6001428600,2
"171",6001428700,2
"172",6001430101,1
"173",6001430102,7
"174",6001430200,7
"175",6001430300,7
"176",6001430400,7
"177",6001430500,2
"178",6001430600,2
"179",6001430700,7
"180",6001430800,7
"181",6001430900,2
"182",6001431000,4
"183",6001431100,2
"184",6001431200,2
"185",6001432100,7
"186",6001432200,2
"187",6001432300,2
"188",6001432400,4
"189",6001432501,2
"190",6001432502,4
"191",6001432600,2
"192",6001432700,7
"193",6001432800,2
"194",6001433000,2
"195",6001433102,2
"196",6001433103,4
"197",6001433104,2
"198",6001433200,2
"199",6001433300,2
"200",6001433400,1
"201",6001433500,2
"202",6001433600,2
"203",6001433700,4
"204",6001433800,4
"205",6001433900,4
"206",6001434000,4
"207",6001435102,7
"208",6001435103,1
"209",6001435104,2
"210",6001435200,2
"211",6001435300,4
"212",6001435400,2
"213",6001435500,4
"214",6001435601,4
"215",6001435602,4
"216",6001435700,2
"217",6001435800,2
"218",6001435900,2
"219",6001436000,2
"220",6001436100,4
"221",6001436200,4
"222",6001436300,4
"223",6001436401,2
"224",6001436402,7
"225",6001436500,2
"226",6001436601,4
"227",6001436602,4
"228",6001436700,4
"229",6001436800,2
"230",6001436900,4
"231",6001437000,2
"232",6001437101,1
"233",6001437102,2
"234",6001437200,2
"235",6001437300,2
"236",6001437400,2
"237",6001437500,4
"238",6001437600,4
"239",6001437701,4
"240",6001437702,4
"241",6001437800,2
"242",6001437900,4
"243",6001438000,2
"244",6001438100,2
"245",6001438201,4
"246",6001438203,1
"247",6001438204,2
"248",6001438300,2
"249",6001438400,2
"250",6001440100,2
"251",6001440200,4
"252",6001440301,2
"253",6001440304,1
"254",6001440305,1
"255",6001440306,1
"256",6001440307,2
"257",6001440308,1
"258",6001440331,2
"259",6001440332,1
"260",6001440333,1
"261",6001440334,1
"262",6001440335,1
"263",6001440336,2
"264",6001441100,7
"265",6001441200,2
"266",6001441301,1
"267",6001441302,7
"268",6001441401,1
"269",6001441402,7
"270",6001441501,1
"271",6001441503,1
"272",6001441521,1
"273",6001441522,1
"274",6001441523,1
"275",6001441524,1
"276",6001441601,2
"277",6001441602,2
"278",6001441700,2
"279",6001441800,1
"280",6001441921,2
"281",6001441923,6
"282",6001441924,1
"283",6001441925,3
"284",6001441926,2
"285",6001441927,2
"286",6001442000,1
"287",6001442100,1
"288",6001442200,1
"289",6001442301,2
"290",6001442302,2
"291",6001442400,2
"292",6001442500,2
"293",6001442601,7
"294",6001442602,2
"295",6001442700,7
"296",6001442800,2
"297",6001442900,2
"298",6001443001,2
"299",6001443002,2
"300",6001443102,1
"301",6001443103,1
"302",6001443104,1
"303",6001443105,1
"304",6001443200,1
"305",6001443301,1
"306",6001443321,1
"307",6001443322,1
"308",6001444100,2
"309",6001444200,2
"310",6001444301,2
"311",6001444302,2
"312",6001444400,2
"313",6001444500,2
"314",6001444601,2
"315",6001444602,1
"316",6001450101,3
"317",6001450102,2
"318",6001450200,2
"319",6001450300,2
"320",6001450400,2
"321",6001450501,7
"322",6001450502,1
"323",6001450601,1
"324",6001450602,7
"325",6001450603,7
"326",6001450604,7
"327",6001450605,7
"328",6001450606,7
"329",6001450607,2
"330",6001450701,1
"331",6001450741,7
"332",6001450742,7
"333",6001450743,2
"334",6001450744,7
"335",6001450745,1
"336",6001450746,7
"337",6001450750,2
"338",6001450751,1
"339",6001450752,1
"340",6001451101,7
"341",6001451102,1
"342",6001451201,2
"343",6001451202,7
"344",6001451300,7
"345",6001451401,7
"346",6001451403,2
"347",6001451404,4
"348",6001451501,7
"349",6001451503,7
"350",6001451504,7
"351",6001451505,7
"352",6001451506,2
"353",6001451601,7
"354",6001451602,7
"355",6001451701,7
"356",6001451703,7
"357",6001451704,7
"358",6001983200,3
"359",6013301000,2
"360",6013302005,2
"361",6013302006,2
"362",6013302007,2
"363",6013302008,2
"364",6013302009,4
"365",6013302010,2
"366",6013303102,2
"367",6013303103,2
"368",6013303201,2
"369",6013303202,2
"370",6013303203,7
"371",6013303204,2
"372",6013303205,7
"373",6013304001,7
"374",6013304002,7
"375",6013304003,7
"376",6013304004,7
"377",6013304005,2
"378",6013305000,4
"379",6013306002,2
"380",6013306003,2
"381",6013306004,4
"382",6013307101,2
"383",6013307102,2
"384",6013307201,4
"385",6013307202,4
"386",6013307204,2
"387",6013307205,4
"388",6013308001,2
"389",6013308002,2
"390",6013309000,8
"391",6013310000,4
"392",6013311000,4
"393",6013312000,4
"394",6013313101,4
"395",6013313102,4
"396",6013313103,4
"397",6013313203,2
"398",6013313204,4
"399",6013313205,2
"400",6013313206,4
"401",6013314102,4
"402",6013314103,4
"403",6013314104,4
"404",6013314200,4
"405",6013315000,2
"406",6013316000,4
"407",6013317000,7
"408",6013318000,2
"409",6013319000,2
"410",6013320001,2
"411",6013320003,7
"412",6013320004,7
"413",6013321101,7
"414",6013321102,7
"415",6013321103,7
"416",6013321200,2
"417",6013322000,7
"418",6013323000,7
"419",6013324001,2
"420",6013324002,2
"421",6013325000,7
"422",6013326000,7
"423",6013327000,2
"424",6013328000,6
"425",6013329000,2
"426",6013330000,2
"427",6013331000,2
"428",6013332000,7
"429",6013333101,7
"430",6013333102,2
"431",6013333200,7
"432",6013334001,2
"433",6013334004,2
"434",6013334006,7
"435",6013334200,1
"436",6013335000,2
"437",6013336101,4
"438",6013336102,4
"439",6013336201,2
"440",6013336202,4
"441",6013337100,7
"442",6013337200,2
"443",6013337300,7
"444",6013338101,2
"445",6013338102,7
"446",6013338201,7
"447",6013338203,2
"448",6013338204,1
"449",6013338301,1
"450",6013338302,1
"451",6013339001,6
"452",6013339002,2
"453",6013340001,1
"454",6013340002,1
"455",6013341000,1
"456",6013343001,1
"457",6013343002,1
"458",6013343003,1
"459",6013345101,7
