"","Geo_FIPS","year","cluster"
"1",6001400100,2009,1
"2",6001400200,2009,1
"3",6001400300,2009,2
"4",6001400400,2009,2
"5",6001400500,2009,3
"6",6001400600,2009,3
"7",6001400700,2009,3
"8",6001400800,2009,3
"9",6001400900,2009,3
"10",6001401000,2009,3
"11",6001401100,2009,3
"12",6001401200,2009,2
"13",6001401300,2009,4
"14",6001401400,2009,3
"15",6001401500,2009,3
"16",6001401600,2009,3
"17",6001401700,2009,5
"18",6001401800,2009,3
"19",6001402100,2009,3
"20",6001402200,2009,3
"21",6001402400,2009,3
"22",6001402500,2009,3
"23",6001402600,2009,4
"24",6001402700,2009,3
"25",6001402800,2009,4
"26",6001402900,2009,4
"27",6001403000,2009,4
"28",6001403100,2009,4
"29",6001403300,2009,4
"30",6001403400,2009,4
"31",6001403500,2009,4
"32",6001403600,2009,4
"33",6001403700,2009,4
"34",6001403800,2009,2
"35",6001403900,2009,4
"36",6001404000,2009,4
"37",6001404100,2009,4
"38",6001404200,2009,1
"39",6001404300,2009,1
"40",6001404400,2009,1
"41",6001404501,2009,1
"42",6001404502,2009,1
"43",6001404600,2009,1
"44",6001404700,2009,1
"45",6001404800,2009,6
"46",6001404900,2009,6
"47",6001405000,2009,1
"48",6001405100,2009,1
"49",6001405200,2009,6
"50",6001405300,2009,4
"51",6001405400,2009,3
"52",6001405500,2009,3
"53",6001405600,2009,3
"54",6001405700,2009,3
"55",6001405800,2009,3
"56",6001405900,2009,3
"57",6001406000,2009,3
"58",6001406100,2009,5
"59",6001406201,2009,5
"60",6001406202,2009,5
"61",6001406300,2009,3
"62",6001406400,2009,3
"63",6001406500,2009,3
"64",6001406600,2009,3
"65",6001406700,2009,6
"66",6001406800,2009,6
"67",6001406900,2009,6
"68",6001407000,2009,3
"69",6001407100,2009,3
"70",6001407200,2009,5
"71",6001407300,2009,5
"72",6001407400,2009,5
"73",6001407500,2009,3
"74",6001407600,2009,3
"75",6001407700,2009,3
"76",6001407800,2009,3
"77",6001407900,2009,6
"78",6001408000,2009,1
"79",6001408100,2009,6
"80",6001408200,2009,3
"81",6001408300,2009,3
"82",6001408400,2009,3
"83",6001408500,2009,3
"84",6001408600,2009,3
"85",6001408700,2009,3
"86",6001408800,2009,3
"87",6001408900,2009,3
"88",6001409000,2009,3
"89",6001409100,2009,3
"90",6001409200,2009,3
"91",6001409300,2009,3
"92",6001409400,2009,5
"93",6001409500,2009,5
"94",6001409600,2009,3
"95",6001409700,2009,3
"96",6001409800,2009,3
"97",6001409900,2009,6
"98",6001410000,2009,6
"99",6001410100,2009,3
"100",6001410200,2009,3
"101",6001410300,2009,3
"102",6001410400,2009,3
"103",6001420100,2009,1
"104",6001420200,2009,6
"105",6001420300,2009,6
"106",6001420400,2009,4
"107",6001420500,2009,6
"108",6001420600,2009,1
"109",6001421100,2009,1
"110",6001421200,2009,1
