tract_id,county,city,disp_type,disp_descr,pop_2013,per_prewar,hburden_ch,emp_conc,hprice_ch,hrent_ch,new_mk_unt,lowinc_ch,lowinc_mig,pop_growth,lowinc_90,lowinc_00,lowinc_13,ed_90,ed_00,ed_13,renter_90,renter_00,renter_13,white_90,white_00,white_13,ed90_00,ed00_13,medinc_90,medinc_00,medinc_13,inc_ch90_00,inc_ch00_13,mkt_ch90_13,mkt_ch00_13,price90_00,price00_13,value90_00,value00_13,gent90_00,gent00_13,mig_09,mig_13
6001400100,Alameda,Oakland,8,MHI - Advanced exclusion,3353,12.6,-26,792,1.6,-14.5,207,15,6.4,34.3,12.1,14.9,13.7,75.6,83.7,86.7,13.0,9.4,17.9,14.2,22.5,36.1,8.1,3.0,147946,179917,147292,21.6,-18.1,0.0,15.0,36.0,1.6,44.4,7.3,0,0,4.4,10.8
6001400200,Alameda,Oakland,6,MHI - At risk of displacement,1944,87.3,-102,23281,41.8,33.9,18,-140,-5.9,1.8,31.1,28.8,15.0,67.5,77.3,80.5,44.0,42.3,30.8,17.3,21.0,29.7,9.7,3.3,82791,111684,131250,34.9,17.5,0.8,2.1,18.9,41.8,7.9,37.4,0,0,7.9,2.0
6001400300,Alameda,Oakland,2,LI - At risk of gentrification or displacement,5376,74.6,-46,5045,42.0,11.2,0,158,-0.7,10.2,46.2,37.4,44.2,55.5,63.4,75.4,59.0,59.8,55.5,28.5,32.8,35.0,7.9,12.0,58076,79199,75266,36.4,-5.0,0.8,0.0,38.8,42.0,14.2,40.1,0,0,5.8,5.1
6001400400,Alameda,Oakland,6,MHI - At risk of displacement,4152,83.4,-238,5063,58.9,31.4,70,-46,-1.0,13.5,47.2,35.5,31.3,57.0,68.4,76.1,62.7,60.0,58.4,36.3,35.6,40.3,11.4,7.7,55370,78847,93203,42.4,18.2,1.5,3.6,45.8,58.9,26.2,41.5,0,0,6.6,5.6
6001400500,Alameda,Oakland,4,LI - Advanced gentrification,3618,72.0,-180,3174,50.7,39.7,90,-182,1.2,6.1,61.3,52.3,39.3,35.0,47.3,63.7,62.1,62.1,64.1,64.7,62.8,52.5,12.3,16.4,39400,55054,73261,39.7,33.1,1.6,5.4,22.4,50.7,20.5,69.0,0,1,10.0,11.1
6001400600,Alameda,Oakland,4,LI - Advanced gentrification,1691,77.3,-131,2482,59.2,11.7,38,25,-9.8,-0.9,68.8,51.5,56.2,21.5,25.5,55.8,57.5,60.1,57.8,81.7,76.8,67.8,4.0,30.3,37312,57020,53614,52.8,-6.0,1.3,4.8,18.9,59.2,27.6,15.2,0,1,19.7,9.9
6001400700,Alameda,Oakland,4,LI - Advanced gentrification,4062,75.9,-78,2519,63.3,45.2,75,60,-13.8,-8.7,65.0,65.5,70.4,18.3,23.2,40.7,58.0,60.3,70.4,88.3,83.1,72.2,5.0,17.4,32643,41292,38836,26.5,-5.9,1.7,3.8,27.5,63.3,15.2,82.8,0,1,23.5,9.7
6001400800,Alameda,Oakland,4,LI - Advanced gentrification,3071,57.2,-185,3501,66.8,47.8,274,-105,-16.7,-8.8,69.6,63.9,50.3,20.4,26.7,44.5,64.0,67.6,68.9,84.2,79.1,66.4,6.3,17.7,36257,44524,56993,22.8,28.0,6.3,15.6,64.9,66.8,20.3,86.1,1,1,21.1,4.4
6001400900,Alameda,Oakland,4,LI - Advanced gentrification,2178,78.1,-176,2983,69.2,50.0,19,-211,-2.2,-11.3,67.0,70.5,51.3,17.0,26.3,51.8,58.8,62.6,54.3,82.4,79.7,53.1,9.3,25.5,34593,39606,55205,14.5,39.4,4.4,1.7,24.6,69.2,-13.0,146.6,1,0,8.4,6.2
6001401000,Alameda,Oakland,4,LI - Advanced gentrification,5007,68.1,-120,6906,54.0,55.8,273,-194,-7.6,-10.4,71.1,72.9,61.0,12.1,15.2,34.2,64.6,67.8,62.9,91.6,90.8,76.4,3.1,19.0,30484,36842,40488,20.9,9.9,0.7,10.1,27.2,54.0,18.1,39.9,0,1,14.2,6.6
