"","Geo_FIPS","cluster"
"1",6001400100,1
"2",6001400200,3
"3",6001400300,3
"4",6001400400,3
"5",6001400500,3
"6",6001400600,3
"7",6001400700,3
"8",6001400800,3
"9",6001400900,3
"10",6001401000,3
"11",6001401100,3
"12",6001401200,3
"13",6001401300,7
"14",6001401400,3
"15",6001401500,3
"16",6001401600,3
"17",6001401700,3
"18",6001401800,3
"19",6001402200,3
"20",6001402400,3
"21",6001402500,3
"22",6001402600,7
"23",6001402700,3
"24",6001402800,3
"25",6001402900,7
"26",6001403000,7
"27",6001403100,7
"28",6001403300,7
"29",6001403400,5
"30",6001403501,7
"31",6001403502,5
"32",6001403600,5
"33",6001403701,5
"34",6001403702,5
"35",6001403800,3
"36",6001403900,5
"37",6001404000,5
"38",6001404101,3
"39",6001404102,5
"40",6001404200,1
"41",6001404300,1
"42",6001404400,1
"43",6001404501,1
"44",6001404502,1
"45",6001404600,1
"46",6001404700,3
"47",6001404800,3
"48",6001404900,4
"49",6001405000,3
"50",6001405100,1
"51",6001405200,4
"52",6001405301,5
"53",6001405302,7
"54",6001405401,4
"55",6001405402,3
"56",6001405500,7
"57",6001405600,7
"58",6001405700,7
"59",6001405800,4
"60",6001405901,4
"61",6001405902,4
"62",6001406000,4
"63",6001406100,7
"64",6001406201,8
"65",6001406202,8
"66",6001406300,4
"67",6001406400,3
"68",6001406500,4
"69",6001406601,3
"70",6001406602,3
"71",6001406700,3
"72",6001406800,3
"73",6001406900,3
"74",6001407000,4
"75",6001407101,8
"76",6001407102,4
"77",6001407200,8
"78",6001407300,4
"79",6001407400,8
"80",6001407500,3
"81",6001407600,3
"82",6001407700,3
"83",6001407800,3
"84",6001407900,3
"85",6001408000,3
"86",6001408100,3
"87",6001408200,3
"88",6001408300,3
"89",6001408400,3
"90",6001408500,3
"91",6001408600,3
"92",6001408700,3
"93",6001408800,3
"94",6001408900,3
"95",6001409000,3
"96",6001409100,3
"97",6001409200,3
"98",6001409300,3
"99",6001409400,8
"100",6001409500,8
"101",6001409600,3
"102",6001409700,3
"103",6001409800,3
"104",6001409900,3
"105",6001410000,3
"106",6001410100,3
"107",6001410200,3
"108",6001410300,3
"109",6001410400,3
"110",6001410500,3
"111",6001420100,3
"112",6001420200,3
"113",6001420300,4
"115",6001420500,3
"116",6001420600,3
"117",6001421100,1
"118",6001421200,1
"119",6001421300,3
"120",6001421400,3
"121",6001421500,3
"122",6001421600,3
"123",6001421700,3
"124",6001421800,3
"125",6001421900,3
"126",6001422000,3
"127",6001422100,4
"128",6001422200,4
"129",6001422300,3
"130",6001422400,12
"131",6001422500,3
"132",6001422600,4
"133",6001422700,12
"134",6001422800,12
"135",6001422900,12
"136",6001423000,3
"137",6001423100,4
"138",6001423200,3
"139",6001423300,3
"140",6001423400,4
"141",6001423500,3
"142",6001423601,3
"143",6001423602,12
"144",6001423700,3
"145",6001423800,1
"146",6001423901,3
"147",6001423902,3
"148",6001424001,3
"149",6001424002,3
"150",6001425101,5
"151",6001425102,5
"152",6001425103,5
"153",6001425104,7
"154",6001426100,1
"155",6001426200,1
"156",6001427100,3
"157",6001427200,4
"158",6001427300,5
"159",6001427600,7
"160",6001427700,4
"161",6001427800,4
"162",6001427900,4
"163",6001428000,7
"164",6001428100,4
"165",6001428200,4
"166",6001428301,10
"167",6001428302,12
"168",6001428400,5
"169",6001428500,5
"170",6001428600,5
"171",6001428700,7
"172",6001430101,12
"173",6001430102,1
"174",6001430200,3
"175",6001430300,3
"176",6001430400,3
"177",6001430500,12
"178",6001430600,12
"179",6001430700,3
"180",6001430800,12
"181",6001430900,7
"182",6001431000,7
"183",6001431100,7
"184",6001431200,7
"185",6001432100,3
"186",6001432200,3
"187",6001432300,7
"188",6001432400,10
"189",6001432501,10
"190",6001432502,7
"191",6001432600,7
"192",6001432700,3
"193",6001432800,3
"194",6001433000,12
"195",6001433102,7
"196",6001433103,7
"197",6001433104,7
"198",6001433200,3
"199",6001433300,12
"200",6001433400,4
"201",6001433500,12
"202",6001433600,7
"203",6001433700,8
"204",6001433800,10
"205",6001433900,7
"206",6001434000,3
"207",6001435102,12
"208",6001435103,12
"209",6001435104,7
"210",6001435200,12
"211",6001435300,3
"212",6001435400,7
"213",6001435500,7
"214",6001435601,7
"215",6001435602,3
"216",6001435700,12
"217",6001435800,12
"219",6001436000,12
"220",6001436100,7
"221",6001436200,3
"222",6001436300,7
"223",6001436401,12
"224",6001436402,12
"225",6001436500,7
"226",6001436601,7
"227",6001436602,7
"228",6001436700,8
"229",6001436800,7
"230",6001436900,7
"231",6001437000,10
"232",6001437101,10
"233",6001437102,10
"234",6001437200,10
"235",6001437300,10
"237",6001437500,8
"238",6001437600,10
"239",6001437701,8
"240",6001437702,8
"241",6001437800,10
"242",6001437900,3
"243",6001438000,12
"244",6001438100,10
"245",6001438201,10
"246",6001438203,10
"247",6001438204,10
"248",6001438300,10
"249",6001438400,12
"250",6001440100,10
"251",6001440200,8
"252",6001440301,10
"253",6001440304,10
"254",6001440305,10
"255",6001440306,10
"256",6001440307,10
"257",6001440308,10
"258",6001440331,10
"259",6001440332,12
"260",6001440333,12
"261",6001440334,10
"262",6001440335,12
"263",6001440336,4
"264",6001441100,12
"265",6001441200,10
"266",6001441301,12
"267",6001441302,10
"268",6001441401,10
"269",6001441402,12
"270",6001441501,12
"271",6001441503,12
"272",6001441521,12
"273",6001441522,12
"274",6001441523,12
"275",6001441524,12
"276",6001441601,10
"277",6001441602,10
"278",6001441700,12
"279",6001441800,10
"280",6001441921,5
"281",6001441923,7
"282",6001441924,12
"283",6001441925,5
"284",6001441926,7
"285",6001441927,5
"286",6001442000,12
"287",6001442100,12
"288",6001442200,12
"289",6001442301,10
"290",6001442302,7
"291",6001442400,10
"292",6001442500,10
"293",6001442601,12
"294",6001442602,10
"295",6001442700,12
"296",6001442800,10
"297",6001442900,10
"298",6001443001,12
"299",6001443002,10
"300",6001443102,12
"301",6001443103,12
"302",6001443104,12
"303",6001443105,12
"304",6001443200,12
"305",6001443301,12
"306",6001443321,12
"307",6001443322,12
"308",6001444100,12
"309",6001444200,10
"310",6001444301,10
"311",6001444302,10
"312",6001444400,10
"313",6001444500,10
"314",6001444601,10
"315",6001444602,12
"316",6001450101,5
"317",6001450102,12
"318",6001450200,5
"319",6001450300,12
"320",6001450400,12
"321",6001450501,12
"322",6001450502,1
"323",6001450601,1
"324",6001450602,12
"325",6001450603,12
"326",6001450604,1
"327",6001450605,3
"328",6001450606,12
"329",6001450607,5
"330",6001450701,1
"331",6001450741,3
"332",6001450742,12
"333",6001450743,5
"334",6001450744,12
"335",6001450745,12
"336",6001450746,12
"337",6001450750,12
"338",6001450751,12
"339",6001450752,12
"340",6001451101,12
"341",6001451102,1
"342",6001451201,12
"343",6001451202,12
"344",6001451300,12
"345",6001451401,12
"346",6001451403,12
"347",6001451404,8
"348",6001451501,3
"349",6001451503,12
"350",6001451504,12
"351",6001451505,3
"352",6001451506,12
"353",6001451601,12
"354",6001451602,12
"355",6001451701,12
"356",6001451703,12
"357",6001451704,1
"362",6013301000,12
"363",6013302005,12
"364",6013302006,12
"365",6013302007,12
"366",6013302008,12
"367",6013302009,12
"368",6013302010,12
"369",6013303102,12
"370",6013303103,12
"371",6013303201,12
"372",6013303202,12
"373",6013303203,12
"374",6013303204,12
"375",6013303205,12
"376",6013304001,12
"377",6013304002,12
"378",6013304003,12
"379",6013304004,3
"380",6013304005,12
"381",6013305000,2
"382",6013306002,12
"383",6013306003,7
"384",6013306004,12
"385",6013307101,12
"386",6013307102,7
"387",6013307201,3
"388",6013307202,3
"389",6013307204,12
"390",6013307205,8
"391",6013308001,12
"392",6013308002,12
"393",6013309000,12
"394",6013310000,8
"395",6013311000,8
"396",6013312000,8
"397",6013313101,8
"398",6013313102,8
"399",6013313103,12
"400",6013313203,10
"401",6013313204,10
"402",6013313205,10
"403",6013313206,8
"404",6013314102,10
"405",6013314103,8
"406",6013314104,8
"407",6013314200,8
"408",6013315000,12
"409",6013316000,2
"410",6013317000,7
"411",6013318000,3
"412",6013319000,3
"413",6013320001,12
"414",6013320003,12
"415",6013320004,12
"416",6013321101,12
"417",6013321102,3
"418",6013321103,3
"419",6013321200,5
"420",6013322000,3
"421",6013323000,3
"422",6013324001,7
"423",6013324002,5
"424",6013325000,3
"425",6013326000,3
"426",6013327000,7
"427",6013328000,7
"428",6013329000,12
"429",6013330000,12
"430",6013331000,12
"431",6013332000,12
"432",6013333101,12
"433",6013333102,12
"434",6013333200,12
"435",6013334001,12
"436",6013334004,5
"437",6013334006,12
"438",6013334200,1
"439",6013335000,12
"440",6013336101,8
"441",6013336102,8
"442",6013336201,7
"443",6013336202,8
"444",6013337100,12
"445",6013337200,12
"446",6013337300,3
"447",6013338101,12
"448",6013338102,12
"449",6013338201,1
"450",6013338203,7
"452",6013338301,1
"453",6013338302,1
"454",6013339001,7
"455",6013339002,7
"456",6013340001,3
"457",6013340002,1
"458",6013341000,3
"459",6013343001,3
"460",6013343002,3
"461",6013343003,3
"462",6013345101,12
"463",6013345102,12
"464",6013345103,12
"465",6013345105,12
"466",6013345108,12
"467",6013345111,12
"468",6013345112,12
"469",6013345113,1
"470",6013345114,1
"471",6013345115,1
"472",6013345116,12
"473",6013345202,12
"474",6013345203,1
"475",6013345204,1
"476",6013346101,1
"477",6013346102,1
"478",6013346201,1
"479",6013346203,3
"480",6013346204,1
