"","Geo_FIPS","cl2000","cl2010","cl2014","change","traj"
"1",6001400100,1,1,1,0,"traj0"
"2",6001400200,1,1,1,0,"traj0"
"3",6001400300,1,7,7,2.31,"traj2"
"4",6001400400,1,7,7,2.31,"traj2"
"5",6001400500,2,2,2,0,"traj0"
"6",6001400600,3,2,2,2,"traj1"
"7",6001400700,3,2,2,2,"traj1"
"8",6001400800,3,2,2,2,"traj1"
"9",6001400900,3,2,2,2,"traj1"
"10",6001401000,3,3,2,2,"traj0"
"11",6001401100,2,2,2,0,"traj0"
"12",6001401200,2,7,7,2.31,"traj2"
"13",6001401300,3,4,4,2.31,"traj0"
"14",6001401400,3,3,3,0,"traj0"
"15",6001401500,3,3,2,2,"traj0"
"16",6001401600,3,3,2,2,"traj0"
"17",6001401700,3,3,15,3,"traj0"
"18",6001401800,3,3,3,0,"traj0"
"19",6001402200,3,3,3,0,"traj0"
"20",6001402400,3,3,3,0,"traj0"
"21",6001402500,3,3,3,0,"traj0"
"22",6001402700,3,3,3,0,"traj0"
"23",6001402800,4,4,4,0,"traj0"
"24",6001402900,4,4,4,0,"traj0"
"25",6001403000,5,5,5,0,"traj0"
"26",6001403100,6,4,4,1.85,"traj0"
"27",6001403300,5,4,4,1.85,"traj0"
"28",6001403400,2,2,4,2.31,"traj0"
"29",6001403600,2,2,2,0,"traj0"
"30",6001403800,1,7,7,2.31,"traj2"
"31",6001403900,2,7,2,4.62,"traj0"
"32",6001404000,2,2,2,0,"traj0"
"33",6001404200,1,1,1,0,"traj0"
"34",6001404300,1,1,1,0,"traj0"
"35",6001404400,1,1,1,0,"traj0"
"36",6001404501,1,1,1,0,"traj0"
"37",6001404502,1,1,1,0,"traj0"
"38",6001404600,1,1,1,0,"traj0"
"39",6001404700,1,1,1,0,"traj0"
"40",6001404800,1,1,11,3,"traj0"
"41",6001404900,1,11,11,3,"traj0"
"42",6001405000,1,1,1,0,"traj0"
"43",6001405100,1,1,1,0,"traj0"
"44",6001405200,7,2,2,2.31,"traj0"
"45",6001405500,3,3,3,0,"traj0"
"46",6001405600,3,3,3,0,"traj0"
"47",6001405700,3,3,3,0,"traj0"
"48",6001405800,3,6,6,2.31,"traj0"
"49",6001406000,3,6,6,2.31,"traj0"
"50",6001406100,6,6,6,0,"traj0"
"51",6001406201,6,6,6,0,"traj0"
"52",6001406202,6,6,6,0,"traj0"
"53",6001406300,3,6,6,2.31,"traj0"
"54",6001406400,3,3,3,0,"traj0"
"55",6001406500,3,3,6,2.31,"traj0"
"56",6001406700,1,1,11,3,"traj0"
"57",6001406800,1,1,1,0,"traj0"
"58",6001406900,1,11,11,3,"traj0"
"59",6001407000,3,6,6,2.31,"traj0"
"60",6001407200,6,6,6,0,"traj0"
"61",6001407300,3,6,6,2.31,"traj0"
"62",6001407400,3,6,6,2.31,"traj0"
"63",6001407500,3,3,3,0,"traj0"
"64",6001407600,3,3,3,0,"traj0"
"65",6001407700,3,3,3,0,"traj0"
"66",6001407800,3,3,3,0,"traj0"
"67",6001407900,1,1,1,0,"traj0"
"68",6001408000,1,1,1,0,"traj0"
"69",6001408100,8,14,14,3,"traj0"
"70",6001408200,3,3,3,0,"traj0"
"71",6001408300,3,3,3,0,"traj0"
"72",6001408400,3,3,3,0,"traj0"
"73",6001408500,3,3,3,0,"traj0"
"74",6001408600,3,3,3,0,"traj0"
"75",6001408700,3,3,3,0,"traj0"
"76",6001408800,3,3,3,0,"traj0"
"77",6001408900,3,3,3,0,"traj0"
"78",6001409000,3,3,3,0,"traj0"
"79",6001409100,3,3,3,0,"traj0"
"80",6001409200,3,3,3,0,"traj0"
"81",6001409300,3,3,6,2.31,"traj0"
"82",6001409400,3,6,6,2.31,"traj0"
"83",6001409500,3,6,3,4.62,"traj0"
"84",6001409600,3,3,3,0,"traj0"
"85",6001409700,3,3,3,0,"traj0"
"86",6001409800,3,3,3,0,"traj0"
"87",6001409900,8,8,8,0,"traj0"
"88",6001410000,8,8,8,0,"traj0"
"89",6001410100,3,3,3,0,"traj0"
"90",6001410200,3,3,3,0,"traj0"
"91",6001410300,3,3,6,2.31,"traj0"
"92",6001410400,3,3,3,0,"traj0"
"93",6001420100,1,1,1,0,"traj0"
"94",6001420200,7,7,7,0,"traj0"
"95",6001420300,9,7,7,3,"traj2"
"96",6001420500,7,7,11,3,"traj0"
"97",6001420600,1,1,1,0,"traj0"
"98",6001421100,1,1,1,0,"traj0"
"99",6001421200,1,1,1,0,"traj0"
"100",6001421300,1,1,1,0,"traj0"
"101",6001421400,1,1,1,0,"traj0"
"102",6001421500,1,1,1,0,"traj0"
"103",6001421600,1,1,1,0,"traj0"
"104",6001421700,7,7,7,0,"traj0"
"105",6001421800,1,1,1,0,"traj0"
"106",6001421900,1,1,1,0,"traj0"
"107",6001422000,2,2,15,3,"traj0"
"108",6001422100,2,2,11,3,"traj0"
"109",6001422200,2,11,7,6,"traj2"
"110",6001422300,7,7,7,0,"traj0"
"111",6001422400,10,10,10,0,"traj0"
"112",6001422500,10,10,10,0,"traj0"
"113",6001422700,10,10,10,0,"traj0"
"114",6001422800,10,10,10,0,"traj0"
"115",6001422900,10,10,10,0,"traj0"
"116",6001423000,7,7,7,0,"traj0"
"117",6001423100,2,2,7,2.31,"traj2"
"118",6001423200,2,2,2,0,"traj0"
"119",6001423300,3,2,3,4,"traj0"
"120",6001423400,2,2,2,0,"traj0"
"121",6001423500,2,2,2,0,"traj0"
"122",6001423601,7,7,7,0,"traj0"
"123",6001423602,10,10,10,0,"traj0"
"124",6001423700,7,7,7,0,"traj0"
"125",6001423800,1,1,1,0,"traj0"
"126",6001423901,2,7,7,2.31,"traj2"
"127",6001423902,7,7,7,0,"traj0"
"128",6001424001,2,2,2,0,"traj0"
"129",6001424002,3,3,2,2,"traj0"
"130",6001426100,1,1,1,0,"traj0"
"131",6001426200,1,1,1,0,"traj0"
"132",6001427100,1,1,1,0,"traj0"
"133",6001427200,11,11,11,0,"traj0"
"134",6001427300,9,1,11,6,"traj0"
"135",6001427600,3,3,6,2.31,"traj0"
"136",6001427700,9,2,2,3,"traj0"
"137",6001427800,1,11,11,3,"traj0"
"138",6001427900,1,11,11,3,"traj0"
"139",6001428000,7,2,2,2.31,"traj0"
"140",6001428100,13,11,11,2.63,"traj0"
"141",6001428200,13,1,11,6,"traj0"
"142",6001428301,1,14,14,3,"traj0"
"143",6001428302,14,14,14,0,"traj0"
"144",6001428400,7,7,7,0,"traj0"
"145",6001428500,9,7,7,3,"traj2"
"146",6001428600,9,7,7,3,"traj2"
"147",6001430200,1,1,8,2.31,"traj0"
"148",6001430300,1,1,1,0,"traj0"
"149",6001430400,1,1,1,0,"traj0"
"150",6001430500,8,13,13,3,"traj0"
"151",6001430600,8,1,1,2.31,"traj0"
"152",6001430700,1,1,1,0,"traj0"
"153",6001430800,13,1,8,5.31,"traj0"
"154",6001430900,15,15,15,0,"traj0"
"155",6001431000,15,6,6,3,"traj0"
"156",6001431100,15,15,15,0,"traj0"
"157",6001431200,13,8,8,3,"traj0"
"158",6001432100,8,1,1,2.31,"traj0"
"159",6001432200,1,13,13,3,"traj0"
"160",6001432300,6,6,13,3,"traj0"
"161",6001432400,6,6,6,0,"traj0"
"162",6001432600,6,15,15,3,"traj0"
"163",6001432700,8,1,1,2.31,"traj0"
"164",6001432800,8,1,1,2.31,"traj0"
"165",6001433000,8,13,13,3,"traj0"
"166",6001433102,8,11,6,6,"traj0"
"167",6001433200,6,15,15,3,"traj0"
"168",6001433300,8,13,13,3,"traj0"
"169",6001433400,9,13,9,5.26,"traj0"
"170",6001433500,8,13,13,3,"traj0"
"171",6001433600,8,6,6,2.14,"traj0"
"172",6001433700,6,6,6,0,"traj0"
"173",6001433800,6,6,6,0,"traj0"
"174",6001433900,3,3,6,2.31,"traj0"
"175",6001434000,3,6,6,2.31,"traj0"
"176",6001435102,14,14,14,0,"traj0"
"177",6001435200,8,13,13,3,"traj0"
"178",6001435300,8,3,3,2.31,"traj0"
"179",6001435400,6,15,15,3,"traj0"
"180",6001435500,6,6,6,0,"traj0"
"181",6001435700,8,13,13,3,"traj0"
"182",6001435800,8,13,13,3,"traj0"
"183",6001436000,8,13,13,3,"traj0"
"184",6001436100,8,6,6,2.14,"traj0"
"185",6001436200,3,6,6,2.31,"traj0"
"186",6001436300,6,6,6,0,"traj0"
"187",6001436401,8,13,13,3,"traj0"
"188",6001436402,8,1,1,2.31,"traj0"
"189",6001436500,6,15,15,3,"traj0"
"190",6001436601,3,6,6,2.31,"traj0"
"191",6001436602,6,6,6,0,"traj0"
"192",6001436700,6,6,6,0,"traj0"
"193",6001436800,6,6,6,0,"traj0"
"194",6001436900,3,6,6,2.31,"traj0"
"195",6001437000,8,13,13,3,"traj0"
"196",6001437200,6,13,13,3,"traj0"
"197",6001437300,8,6,6,2.14,"traj0"
"198",6001437500,6,6,6,0,"traj0"
"199",6001437600,6,6,6,0,"traj0"
"200",6001437800,8,13,13,3,"traj0"
"201",6001437900,6,6,6,0,"traj0"
"202",6001438000,8,13,6,6,"traj0"
"203",6001438100,8,13,13,3,"traj0"
"204",6001438201,6,6,6,0,"traj0"
"205",6001438300,11,6,6,3,"traj0"
"206",6001438400,8,13,13,3,"traj0"
"207",6001440100,8,13,13,3,"traj0"
"208",6001440200,6,6,6,0,"traj0"
"209",6001440301,6,13,13,3,"traj0"
"210",6001440304,9,14,9,5.26,"traj0"
"211",6001440306,9,9,9,0,"traj0"
"212",6001440307,6,13,13,3,"traj0"
"213",6001440308,6,9,9,3,"traj0"
"214",6001440331,6,9,9,3,"traj0"
"215",6001441100,8,1,1,2.31,"traj0"
"216",6001441200,1,13,8,6,"traj0"
"217",6001441301,9,9,9,0,"traj0"
"218",6001441302,1,13,8,6,"traj0"
"219",6001441401,9,13,9,5.26,"traj0"
"220",6001441402,9,14,14,2.63,"traj0"
"221",6001441501,14,14,14,0,"traj0"
"222",6001441503,14,14,14,0,"traj0"
"223",6001441521,14,14,14,0,"traj0"
"224",6001441522,9,14,14,2.63,"traj0"
"225",6001441601,8,13,13,3,"traj0"
"226",6001441602,8,13,9,5.63,"traj0"
"227",6001441700,6,13,13,3,"traj0"
"228",6001441800,8,13,13,3,"traj0"
"229",6001441921,6,15,13,4.96,"traj0"
"230",6001441923,15,15,15,0,"traj0"
"231",6001442000,14,14,14,0,"traj0"
"232",6001442100,14,14,14,0,"traj0"
"233",6001442200,1,14,14,3,"traj0"
"234",6001442400,8,13,13,3,"traj0"
"235",6001442500,8,13,13,3,"traj0"
"236",6001442700,8,1,1,2.31,"traj0"
"237",6001442800,1,13,13,3,"traj0"
"238",6001442900,1,13,13,3,"traj0"
"239",6001443001,8,13,13,3,"traj0"
"240",6001443002,8,13,13,3,"traj0"
"241",6001443102,14,14,14,0,"traj0"
"242",6001443103,14,14,14,0,"traj0"
"243",6001443200,14,14,14,0,"traj0"
"244",6001443301,14,14,14,0,"traj0"
"245",6001444100,8,1,1,2.31,"traj0"
"246",6001444200,8,13,13,3,"traj0"
"247",6001444400,6,6,13,3,"traj0"
"248",6001444500,6,13,13,3,"traj0"
"249",6001450200,15,15,15,0,"traj0"
"250",6001450300,8,8,1,2.31,"traj0"
"251",6001450400,8,1,1,2.31,"traj0"
"252",6001450601,1,1,8,2.31,"traj0"
"253",6001450602,8,1,8,4.62,"traj0"
"254",6001450603,8,8,8,0,"traj0"
"255",6001450604,8,8,8,0,"traj0"
"256",6001450605,8,1,8,4.62,"traj0"
"257",6001450606,8,14,14,3,"traj0"
"258",6001450607,15,15,15,0,"traj0"
"259",6001450701,1,1,14,3,"traj0"
"260",6001450741,13,1,1,3,"traj0"
"261",6001450742,8,1,14,5.31,"traj0"
"262",6001451101,8,1,8,4.62,"traj0"
"263",6001451102,8,1,1,2.31,"traj0"
"264",6001451201,8,8,8,0,"traj0"
"265",6001451202,8,8,1,2.31,"traj0"
"266",6001451300,8,8,8,0,"traj0"
"267",6001451401,8,1,1,2.31,"traj0"
"268",6001451501,13,1,1,3,"traj0"
"269",6001451503,1,8,1,4.62,"traj0"
"270",6001451601,8,1,8,4.62,"traj0"
"271",6001451602,13,8,1,5.31,"traj0"
"272",6013301000,13,8,8,3,"traj0"
"273",6013305000,13,3,3,3,"traj0"
"274",6013306002,13,13,13,0,"traj0"
"275",6013307101,13,13,13,0,"traj0"
"276",6013307102,13,13,6,3,"traj0"
"277",6013307201,13,3,3,3,"traj0"
"278",6013307202,3,6,6,2.31,"traj0"
"279",6013307204,13,13,13,0,"traj0"
"280",6013307205,8,3,6,4.62,"traj0"
"281",6013308001,13,13,13,0,"traj0"
"282",6013308002,8,8,8,0,"traj0"
"283",6013309000,8,15,15,3,"traj0"
"284",6013310000,3,3,3,0,"traj0"
"285",6013311000,3,3,3,0,"traj0"
"286",6013312000,3,3,3,0,"traj0"
"287",6013313101,6,3,3,2.31,"traj0"
"288",6013313102,8,3,13,5.31,"traj0"
"289",6013313103,8,13,13,3,"traj0"
"290",6013314102,6,13,6,6,"traj0"
"291",6013314103,6,3,3,2.31,"traj0"
"292",6013314104,6,6,6,0,"traj0"
"293",6013314200,13,6,6,3,"traj0"
"294",6013315000,8,8,8,0,"traj0"
"295",6013316000,2,2,2,0,"traj0"
"296",6013317000,13,1,13,6,"traj0"
"297",6013318000,13,13,1,3,"traj0"
"298",6013319000,13,13,8,3,"traj0"
"299",6013320001,13,8,6,5.14,"traj0"
"300",6013321101,8,8,8,0,"traj0"
"301",6013321102,8,8,1,2.31,"traj0"
"302",6013321103,8,1,1,2.31,"traj0"
"303",6013321200,13,8,15,6,"traj0"
"304",6013322000,8,1,1,2.31,"traj0"
"305",6013323000,1,1,1,0,"traj0"
"306",6013325000,1,1,1,0,"traj0"
"307",6013326000,1,8,1,4.62,"traj0"
"308",6013327000,13,13,13,0,"traj0"
"309",6013328000,4,4,4,0,"traj0"
"310",6013329000,13,8,8,3,"traj0"
"311",6013330000,13,1,8,5.31,"traj0"
"312",6013331000,13,8,8,3,"traj0"
"313",6013332000,13,8,8,3,"traj0"
"314",6013333200,8,1,8,4.62,"traj0"
"315",6013334001,13,8,8,3,"traj0"
"316",6013334004,13,8,8,3,"traj0"
"317",6013335000,13,1,8,5.31,"traj0"
"318",6013336101,6,6,6,0,"traj0"
"319",6013336102,6,6,6,0,"traj0"
"320",6013337100,8,1,8,4.62,"traj0"
"321",6013337200,13,13,8,3,"traj0"
"322",6013337300,1,1,1,0,"traj0"
"323",6013338201,8,1,1,2.31,"traj0"
"324",6013338301,1,1,1,0,"traj0"
"325",6013338302,1,1,1,0,"traj0"
"326",6013340001,13,1,1,3,"traj0"
"327",6013340002,1,1,1,0,"traj0"
"328",6013341000,1,1,1,0,"traj0"
"329",6013343001,13,1,1,3,"traj0"
"330",6013343002,1,1,1,0,"traj0"
"331",6013343003,1,1,1,0,"traj0"
"332",6013345101,8,8,1,2.31,"traj0"
"333",6013345102,8,1,8,4.62,"traj0"
"334",6013345103,8,1,1,2.31,"traj0"
"335",6013345105,8,1,8,4.62,"traj0"
"336",6013345108,8,1,14,5.31,"traj0"
"337",6013345202,8,1,1,2.31,"traj0"
"338",6013346101,1,1,1,0,"traj0"
"339",6013346102,1,1,1,0,"traj0"
"340",6013346201,1,1,1,0,"traj0"
"341",6013347000,1,1,1,0,"traj0"
"342",6013348000,1,1,1,0,"traj0"
"343",6013349000,1,1,1,0,"traj0"
"344",6013350000,1,1,1,0,"traj0"
"345",6013351200,1,1,1,0,"traj0"
"346",6013352101,14,14,14,0,"traj0"
"347",6013352102,1,1,1,0,"traj0"
"348",6013352201,1,1,1,0,"traj0"
"349",6013352202,1,1,1,0,"traj0"
"350",6013353001,1,1,1,0,"traj0"
"351",6013353002,1,1,1,0,"traj0"
"352",6013354001,1,1,1,0,"traj0"
"353",6013354002,1,1,1,0,"traj0"
"354",6013355200,8,14,14,3,"traj0"
"355",6013355301,8,1,1,2.31,"traj0"
"356",6013355302,1,1,1,0,"traj0"
"357",6013355304,8,1,1,2.31,"traj0"
"358",6013356001,8,13,13,3,"traj0"
"359",6013356002,8,8,14,3,"traj0"
"360",6013357000,13,1,1,3,"traj0"
"361",6013358000,13,6,6,3,"traj0"
"362",6013359102,8,13,13,3,"traj0"
"363",6013359202,8,1,1,2.31,"traj0"
"364",6013359203,8,13,13,3,"traj0"
"365",6013359204,14,14,14,0,"traj0"
"366",6013360200,8,13,13,3,"traj0"
"367",6013361000,8,13,13,3,"traj0"
"368",6013362000,1,1,1,0,"traj0"
"369",6013363000,8,13,13,3,"traj0"
"370",6013364002,8,13,6,6,"traj0"
"371",6013365002,3,6,6,2.31,"traj0"
"372",6013366001,3,6,6,2.31,"traj0"
"373",6013366002,3,6,6,2.31,"traj0"
"374",6013367100,13,3,3,3,"traj0"
"375",6013367200,3,6,6,2.31,"traj0"
"376",6013369001,6,6,6,0,"traj0"
"377",6013369002,8,13,13,3,"traj0"
"378",6013370000,1,11,11,3,"traj0"
"379",6013371000,6,6,6,0,"traj0"
"380",6013372000,6,6,6,0,"traj0"
"381",6013373000,3,6,6,2.31,"traj0"
"382",6013374000,6,6,6,0,"traj0"
"383",6013375000,3,6,6,2.31,"traj0"
"384",6013376000,3,3,6,2.31,"traj0"
"385",6013377000,3,3,6,2.31,"traj0"
"386",6013378000,13,1,1,3,"traj0"
"387",6013379000,3,3,3,0,"traj0"
"388",6013380000,15,15,15,0,"traj0"
"389",6013381000,3,3,3,0,"traj0"
"390",6013382000,3,3,3,0,"traj0"
"391",6013383000,1,11,11,3,"traj0"
"392",6013384000,1,1,1,0,"traj0"
"393",6013385100,1,1,1,0,"traj0"
"394",6013385200,1,1,1,0,"traj0"
"395",6013386000,7,2,2,2.31,"traj0"
"396",6013387000,7,1,11,5.31,"traj0"
"397",6013388000,7,11,11,3,"traj0"
"398",6013389100,7,11,11,3,"traj0"
"399",6013389200,7,2,2,2.31,"traj0"
"400",6013390100,1,1,1,0,"traj0"
"401",6013390200,1,1,1,0,"traj0"
"402",6013391000,1,1,1,0,"traj0"
"403",6013392000,1,1,1,0,"traj0"
"404",6041101100,8,1,1,2.31,"traj0"
"405",6041101200,1,1,8,2.31,"traj0"
"406",6041102100,8,8,8,0,"traj0"
"407",6041103100,8,8,8,0,"traj0"
"408",6041103200,13,8,1,5.31,"traj0"
"409",6041104101,8,8,8,0,"traj0"
"410",6041104102,13,8,8,3,"traj0"
"411",6041104200,13,1,8,5.31,"traj0"
"412",6041104300,8,8,1,2.31,"traj0"
"413",6041105000,13,8,8,3,"traj0"
"414",6041106001,15,15,15,0,"traj0"
"415",6041106002,13,1,8,5.31,"traj0"
"416",6041107000,1,1,1,0,"traj0"
"417",6041108100,1,1,1,0,"traj0"
"418",6041108200,13,1,1,3,"traj0"
"419",6041110100,1,1,1,0,"traj0"
"420",6041110200,1,1,1,0,"traj0"
"421",6041111000,13,1,15,6,"traj0"
"422",6041112100,13,1,15,6,"traj0"
"423",6041113000,1,1,1,0,"traj0"
"424",6041114100,1,1,1,0,"traj0"
"425",6041114200,1,1,1,0,"traj0"
"426",6041115000,1,1,1,0,"traj0"
"427",6041116000,1,1,1,0,"traj0"
"428",6041117000,1,1,1,0,"traj0"
"429",6041118100,1,1,1,0,"traj0"
"430",6041119100,1,1,1,0,"traj0"
"431",6041120000,1,1,1,0,"traj0"
"432",6041121100,1,1,1,0,"traj0"
"433",6041121200,1,1,1,0,"traj0"
"434",6041123000,1,1,1,0,"traj0"
"435",6041124100,1,1,1,0,"traj0"
"436",6041124200,1,1,1,0,"traj0"
"437",6041125000,1,1,1,0,"traj0"
"438",6041126100,1,1,1,0,"traj0"
"439",6041126200,1,1,1,0,"traj0"
"440",6041127000,1,1,1,0,"traj0"
"441",6041128100,1,1,1,0,"traj0"
"442",6041128200,1,1,1,0,"traj0"
"443",6041129000,15,2,2,3,"traj0"
"444",6041132100,1,1,1,0,"traj0"
"445",6041132200,13,1,1,3,"traj0"
"446",6041133000,13,1,8,5.31,"traj0"
"447",6055200201,13,13,13,0,"traj0"
"448",6055200202,13,13,6,3,"traj0"
"449",6055200203,13,13,13,0,"traj0"
"450",6055200400,1,1,8,2.31,"traj0"
"451",6055200501,13,6,6,3,"traj0"
"452",6055200503,13,13,6,3,"traj0"
"453",6055200703,8,8,8,0,"traj0"
"454",6055200802,13,13,8,3,"traj0"
"455",6055201200,13,8,8,3,"traj0"
"456",6055201300,1,1,1,0,"traj0"
"457",6055201500,13,1,1,3,"traj0"
"458",6055201700,13,1,1,3,"traj0"
"459",6055201800,13,8,8,3,"traj0"
"460",6055202000,13,13,13,0,"traj0"
"461",6075010100,2,2,2,0,"traj0"
"462",6075010200,7,7,7,0,"traj0"
"463",6075010300,7,7,7,0,"traj0"
"464",6075010400,7,7,7,0,"traj0"
"465",6075010500,7,7,7,0,"traj0"
"466",6075010600,5,5,5,0,"traj0"
"467",6075010700,5,5,5,0,"traj0"
"468",6075010800,5,7,7,2.14,"traj2"
"469",6075010900,7,7,7,0,"traj0"
"470",6075011000,5,5,7,2.14,"traj2"
"471",6075011100,5,2,2,2.31,"traj0"
"472",6075011200,7,7,7,0,"traj0"
"473",6075011300,5,5,5,0,"traj0"
"474",6075011700,5,4,4,1.85,"traj0"
"475",6075011800,5,5,5,0,"traj0"
"476",6075012000,2,2,2,0,"traj0"
"477",6075012100,2,2,2,0,"traj0"
"478",6075012700,7,7,7,0,"traj0"
"479",6075012800,7,7,7,0,"traj0"
"480",6075013000,7,7,7,0,"traj0"
"481",6075013200,7,7,7,0,"traj0"
"482",6075013300,7,7,7,0,"traj0"
"483",6075013400,7,7,7,0,"traj0"
"484",6075013500,7,7,7,0,"traj0"
"485",6075015100,7,7,7,0,"traj0"
"486",6075015200,7,7,7,0,"traj0"
"487",6075015300,7,7,7,0,"traj0"
"488",6075015400,7,7,7,0,"traj0"
"489",6075015500,2,2,2,0,"traj0"
"490",6075015600,7,7,7,0,"traj0"
"491",6075015700,7,7,7,0,"traj0"
"492",6075015900,2,2,2,0,"traj0"
"493",6075016000,7,2,2,2.31,"traj0"
"494",6075016100,4,4,4,0,"traj0"
"495",6075016200,2,2,2,0,"traj0"
"496",6075016300,2,2,2,0,"traj0"
"497",6075016400,7,2,2,2.31,"traj0"
"498",6075016500,7,7,2,2.31,"traj0"
"499",6075016600,7,2,2,2.31,"traj0"
"500",6075016700,7,7,7,0,"traj0"
"501",6075016900,7,7,7,0,"traj0"
"502",6075017000,7,7,7,0,"traj0"
"503",6075017601,2,4,4,2.31,"traj0"
"504",6075017700,2,2,2,0,"traj0"
"505",6075017902,10,2,2,3,"traj0"
"506",6075018000,4,15,15,3,"traj0"
"507",6075020100,2,2,2,0,"traj0"
"508",6075020200,2,2,2,0,"traj0"
"509",6075020300,7,7,7,0,"traj0"
"510",6075020500,7,7,7,0,"traj0"
"511",6075020600,7,7,7,0,"traj0"
"512",6075020700,7,7,7,0,"traj0"
"513",6075020800,2,2,2,0,"traj0"
"514",6075020900,2,2,2,0,"traj0"
"515",6075021000,7,7,7,0,"traj0"
"516",6075021100,7,7,7,0,"traj0"
"517",6075021200,7,7,7,0,"traj0"
"518",6075021300,7,7,7,0,"traj0"
"519",6075021400,7,7,7,0,"traj0"
"520",6075021500,7,7,7,0,"traj0"
"521",6075021600,7,7,7,0,"traj0"
"522",6075021700,1,7,7,2.31,"traj2"
"523",6075021800,7,7,7,0,"traj0"
"524",6075022702,7,7,7,0,"traj0"
"525",6075022801,2,11,11,3,"traj0"
"526",6075022802,11,11,11,0,"traj0"
"527",6075022803,2,2,2,0,"traj0"
"528",6075022901,2,2,2,0,"traj0"
"529",6075022902,2,2,11,3,"traj0"
"530",6075022903,2,11,11,3,"traj0"
"531",6075023001,11,11,11,0,"traj0"
"532",6075023003,11,11,11,0,"traj0"
