"","Geo_FIPS","cl.2010","cl.2011","cl.2012","cl.2013","cl.2014","change"
"1",6001400100,1,1,1,1,1,0
"2",6001400200,1,1,1,1,1,0
"3",6001400300,2,2,2,2,2,0
"4",6001400400,2,2,2,2,2,0
"5",6001400500,3,3,2,2,2,1
"6",6001400600,4,4,4,3,3,1
"7",6001400700,4,4,4,4,4,0
"8",6001400800,4,4,4,4,4,0
"9",6001400900,4,4,4,4,4,0
"10",6001401000,4,4,4,4,4,0
"11",6001401100,3,3,3,3,2,1
"12",6001401200,2,2,2,2,2,0
"13",6001401300,5,5,5,5,5,0
"14",6001401400,5,5,5,5,5,0
"15",6001401500,4,4,4,4,4,0
"16",6001401600,5,5,5,5,5,0
"17",6001401700,6,4,4,4,4,1
"18",6001401800,5,5,5,5,5,0
"19",6001402200,5,5,5,5,5,0
"20",6001402400,5,5,5,5,5,0
"21",6001402500,5,5,5,5,5,0
"22",6001402700,5,5,5,5,5,0
"23",6001402800,5,5,5,5,5,0
"24",6001402900,7,7,7,7,7,0
"25",6001403000,7,7,7,7,7,0
"26",6001403100,4,4,4,4,4,0
"27",6001403300,4,4,4,4,4,0
"28",6001403400,3,3,3,3,3,0
"29",6001403501,3,3,3,3,3,0
"30",6001403502,3,3,3,3,3,0
"31",6001403600,3,3,3,3,3,0
"32",6001403701,3,3,3,3,3,0
"33",6001403702,3,3,2,2,2,1
"34",6001403800,2,2,2,2,2,0
"35",6001403900,3,3,3,3,3,0
"36",6001404000,3,3,3,3,3,0
"37",6001404101,2,2,2,2,2,0
"38",6001404102,3,3,3,3,3,0
"39",6001404200,1,1,1,1,1,0
"40",6001404300,1,1,1,1,1,0
"41",6001404400,1,1,1,1,1,0
"42",6001404501,1,1,1,1,1,0
"43",6001404502,1,1,1,1,1,0
"44",6001404600,1,1,1,1,1,0
"45",6001404700,1,1,1,1,1,0
"46",6001404800,3,3,3,3,3,0
"47",6001404900,1,1,1,1,1,0
"48",6001405000,1,1,1,1,1,0
