"","Geo_FIPS","year","cluster"
"1","6001400100","2013","8"
"2","6001400200","2013","8"
"3","6001400300","2013","2"
"4","6001400400","2013","2"
"5","6001400500","2013","2"
"6","6001400600","2013","1"
"7","6001400700","2013","1"
"8","6001400800","2013","1"
"9","6001400900","2013","1"
"10","6001401000","2013","1"
"11","6001401100","2013","2"
"12","6001401200","2013","2"
"13","6001401300","2013","1"
"14","6001401400","2013","1"
"15","6001401500","2013","1"
"16","6001401600","2013","1"
"17","6001401700","2013","6"
"18","6001401800","2013","1"
"19","6001402200","2013","1"
"20","6001402400","2013","1"
"21","6001402500","2013","1"
"22","6001402600","2013","6"
"23","6001402700","2013","1"
"24","6001402800","2013","1"
"25","6001402900","2013","2"
"26","6001403000","2013","6"
"27","6001403100","2013","2"
"28","6001403300","2013","2"
"29","6001403400","2013","2"
"30","6001403501","2013","2"
"31","6001403502","2013","2"
"32","6001403600","2013","2"
"33","6001403701","2013","2"
"34","6001403702","2013","2"
"35","6001403800","2013","2"
"36","6001403900","2013","2"
"37","6001404000","2013","2"
"38","6001404101","2013","2"
"39","6001404102","2013","2"
"40","6001404200","2013","8"
"41","6001404300","2013","8"
"42","6001404400","2013","8"
"43","6001404501","2013","8"
"44","6001404502","2013","8"
"45","6001404600","2013","8"
"46","6001404700","2013","8"
"47","6001404800","2013","6"
"48","6001404900","2013","7"
"49","6001405000","2013","7"
"50","6001405100","2013","8"
"51","6001405200","2013","2"
"52","6001405301","2013","2"
"53","6001405302","2013","2"
"54","6001405401","2013","6"
"55","6001405402","2013","1"
"56","6001405500","2013","6"
"57","6001405600","2013","1"
"58","6001405700","2013","1"
"59","6001405800","2013","6"
"60","6001405901","2013","10"
"61","6001405902","2013","10"
"62","6001406000","2013","6"
"63","6001406100","2013","10"
"64","6001406201","2013","10"
"65","6001406202","2013","10"
"66","6001406300","2013","10"
"67","6001406400","2013","1"
"68","6001406500","2013","1"
"69","6001406601","2013","1"
"70","6001406602","2013","6"
"71","6001406700","2013","7"
"72","6001406800","2013","7"
"73","6001406900","2013","6"
"74","6001407000","2013","1"
"75","6001407101","2013","10"
"76","6001407102","2013","10"
"77","6001407200","2013","10"
"78","6001407300","2013","10"
"79","6001407400","2013","10"
"80","6001407500","2013","1"
"81","6001407600","2013","1"
"82","6001407700","2013","1"
"83","6001407800","2013","1"
"84","6001407900","2013","7"
"85","6001408000","2013","8"
"86","6001408100","2013","7"
"87","6001408200","2013","1"
"88","6001408300","2013","1"
"89","6001408400","2013","1"
"90","6001408500","2013","1"
"91","6001408600","2013","1"
"92","6001408700","2013","1"
"93","6001408800","2013","1"
"94","6001408900","2013","1"
"95","6001409000","2013","1"
"96","6001409100","2013","1"
"97","6001409200","2013","1"
"98","6001409300","2013","10"
"99","6001409400","2013","10"
"100","6001409500","2013","10"
"101","6001409600","2013","10"
"102","6001409700","2013","1"
"103","6001409800","2013","1"
"104","6001409900","2013","1"
"105","6001410000","2013","1"
"106","6001410100","2013","1"
"107","6001410200","2013","1"
"108","6001410300","2013","1"
"109","6001410400","2013","1"
"110","6001410500","2013","1"
"111","6001420100","2013","8"
"112","6001420200","2013","4"
"113","6001420300","2013","4"
"114","6001420400","2013","4"
"115","6001420500","2013","3"
"116","6001420600","2013","8"
"117","6001421100","2013","8"
"118","6001421200","2013","8"
"119","6001421300","2013","8"
"120","6001421400","2013","8"
"121","6001421500","2013","8"
"122","6001421600","2013","8"
"123","6001421700","2013","2"
"124","6001421800","2013","8"
"125","6001421900","2013","8"
"126","6001422000","2013","1"
"127","6001422100","2013","6"
"128","6001422200","2013","2"
"129","6001422300","2013","2"
"130","6001422400","2013","2"
"131","6001422500","2013","2"
"132","6001422600","2013","6"
"133","6001422700","2013","2"
"134","6001422800","2013","5"
"135","6001422900","2013","2"
"136","6001423000","2013","2"
"137","6001423100","2013","2"
"138","6001423200","2013","6"
"139","6001423300","2013","1"
"140","6001423400","2013","6"
"141","6001423500","2013","2"
"142","6001423601","2013","2"
"143","6001423602","2013","2"
"144","6001423700","2013","2"
"145","6001423800","2013","8"
"146","6001423901","2013","2"
"147","6001423902","2013","2"
"148","6001424001","2013","1"
"149","6001424002","2013","1"
"150","6001425101","2013","2"
"151","6001425102","2013","2"
"152","6001425103","2013","2"
"153","6001425104","2013","2"
"154","6001426100","2013","8"
"155","6001426200","2013","8"
"156","6001427100","2013","7"
"157","6001427200","2013","6"
"158","6001427300","2013","6"
"159","6001427600","2013","6"
"160","6001427700","2013","6"
"161","6001427800","2013","6"
"162","6001427900","2013","6"
"163","6001428000","2013","6"
"164","6001428100","2013","9"
"165","6001428200","2013","7"
"166","6001428301","2013","7"
"167","6001428302","2013","8"
"168","6001428400","2013","6"
"169","6001428500","2013","6"
"170","6001428600","2013","6"
"171","6001428700","2013","9"
"172","6001430101","2013","4"
"173","6001430102","2013","7"
"174","6001430200","2013","7"
"175","6001430300","2013","7"
"176","6001430400","2013","7"
"177","6001430500","2013","9"
"178","6001430600","2013","7"
"179","6001430700","2013","7"
"180","6001430800","2013","9"
"181","6001430900","2013","6"
"182","6001431000","2013","6"
"183","6001431100","2013","9"
"184","6001431200","2013","9"
"185","6001432100","2013","7"
"186","6001432200","2013","7"
"187","6001432300","2013","9"
"188","6001432400","2013","9"
"189","6001432501","2013","10"
"190","6001432502","2013","6"
"191","6001432600","2013","6"
"192","6001432700","2013","7"
"193","6001432800","2013","7"
"194","6001433000","2013","9"
"195","6001433102","2013","6"
"196","6001433103","2013","10"
"197","6001433104","2013","6"
"198","6001433200","2013","9"
"199","6001433300","2013","9"
"200","6001433400","2013","6"
"201","6001433500","2013","9"
"202","6001433600","2013","6"
"203","6001433700","2013","10"
"204","6001433800","2013","10"
"205","6001433900","2013","1"
"206","6001434000","2013","10"
"207","6001435102","2013","9"
"208","6001435103","2013","4"
"209","6001435104","2013","6"
"210","6001435200","2013","1"
"211","6001435300","2013","1"
"212","6001435400","2013","6"
"213","6001435500","2013","6"
"214","6001435601","2013","10"
"215","6001435602","2013","10"
"216","6001435700","2013","9"
"217","6001435800","2013","9"
"218","6001435900","2013","9"
"219","6001436000","2013","9"
"220","6001436100","2013","9"
"221","6001436200","2013","10"
"222","6001436300","2013","10"
"223","6001436401","2013","9"
"224","6001436402","2013","9"
"225","6001436500","2013","10"
"226","6001436601","2013","10"
"227","6001436602","2013","10"
"228","6001436700","2013","10"
"229","6001436800","2013","6"
"230","6001436900","2013","10"
"231","6001437000","2013","9"
"232","6001437101","2013","9"
"233","6001437102","2013","10"
"234","6001437200","2013","9"
"235","6001437300","2013","10"
"236","6001437400","2013","10"
"237","6001437500","2013","10"
"238","6001437600","2013","10"
"239","6001437701","2013","10"
"240","6001437702","2013","10"
"241","6001437800","2013","10"
"242","6001437900","2013","10"
"243","6001438000","2013","9"
"244","6001438100","2013","10"
"245","6001438201","2013","10"
"246","6001438203","2013","9"
"247","6001438204","2013","6"
"248","6001438300","2013","10"
"249","6001438400","2013","9"
"250","6001440100","2013","6"
"251","6001440200","2013","10"
"252","6001440301","2013","9"
"253","6001440304","2013","9"
"254","6001440305","2013","4"
"255","6001440306","2013","9"
"256","6001440307","2013","6"
"257","6001440308","2013","6"
"258","6001440331","2013","4"
"259","6001440332","2013","4"
"260","6001440333","2013","4"
"261","6001440334","2013","9"
"262","6001440335","2013","4"
"263","6001440336","2013","6"
"264","6001441100","2013","7"
"265","6001441200","2013","9"
"266","6001441301","2013","4"
"267","6001441302","2013","4"
"268","6001441401","2013","4"
"269","6001441402","2013","4"
"270","6001441501","2013","4"
"271","6001441503","2013","4"
"272","6001441521","2013","4"
"273","6001441522","2013","4"
"274","6001441523","2013","4"
"275","6001441524","2013","4"
"276","6001441601","2013","9"
"277","6001441602","2013","9"
"278","6001441700","2013","9"
"279","6001441800","2013","9"
"280","6001441921","2013","6"
"281","6001441923","2013","6"
"282","6001441924","2013","4"
"283","6001441925","2013","4"
"284","6001441926","2013","6"
"285","6001441927","2013","6"
"286","6001442000","2013","4"
"287","6001442100","2013","4"
"288","6001442200","2013","4"
"289","6001442301","2013","4"
"290","6001442302","2013","6"
"291","6001442400","2013","9"
"292","6001442500","2013","9"
"293","6001442601","2013","7"
"294","6001442602","2013","9"
"295","6001442700","2013","7"
"296","6001442800","2013","9"
"297","6001442900","2013","9"
"298","6001443001","2013","9"
"299","6001443002","2013","9"
"300","6001443102","2013","4"
"301","6001443103","2013","4"
"302","6001443104","2013","4"
"303","6001443105","2013","4"
"304","6001443200","2013","4"
"305","6001443301","2013","4"
"306","6001443321","2013","4"
"307","6001443322","2013","4"
"308","6001444100","2013","9"
"309","6001444200","2013","9"
"310","6001444301","2013","9"
"311","6001444302","2013","10"
"312","6001444400","2013","10"
"313","6001444500","2013","9"
"314","6001444601","2013","9"
"315","6001444602","2013","6"
"316","6001450101","2013","4"
"317","6001450102","2013","9"
"318","6001450200","2013","6"
"319","6001450300","2013","9"
"320","6001450400","2013","9"
"321","6001450501","2013","7"
"322","6001450502","2013","7"
"323","6001450601","2013","8"
"324","6001450602","2013","7"
"325","6001450603","2013","9"
"326","6001450604","2013","7"
"327","6001450605","2013","7"
"328","6001450606","2013","7"
"329","6001450607","2013","6"
"330","6001450701","2013","8"
"331","6001450741","2013","9"
"332","6001450742","2013","7"
"333","6001450743","2013","4"
"334","6001450744","2013","4"
"335","6001450745","2013","4"
"336","6001450746","2013","9"
"337","6001450750","2013","6"
"338","6001450751","2013","8"
"339","6001450752","2013","4"
"340","6001451101","2013","7"
"341","6001451102","2013","7"
"342","6001451201","2013","9"
"343","6001451202","2013","9"
"344","6001451300","2013","9"
"345","6001451401","2013","9"
"346","6001451403","2013","9"
"347","6001451404","2013","10"
"348","6001451501","2013","7"
"349","6001451503","2013","7"
"350","6001451504","2013","7"
"351","6001451505","2013","7"
"352","6001451506","2013","9"
"353","6001451601","2013","7"
"354","6001451602","2013","7"
"355","6001451701","2013","9"
"356","6001451703","2013","9"
"357","6001451704","2013","7"
"358","6001981900","2013","2"
"359","6001982000","2013","7"
"360","6001983200","2013","3"
"361","6013301000","2013","7"
"362","6013302005","2013","9"
"363","6013302006","2013","9"
"364","6013302007","2013","9"
"365","6013302008","2013","9"
"366","6013302009","2013","1"
"367","6013302010","2013","9"
"368","6013303102","2013","9"
"369","6013303103","2013","9"
"370","6013303201","2013","9"
"371","6013303202","2013","9"
"372","6013303203","2013","9"
"373","6013303204","2013","9"
"374","6013303205","2013","7"
"375","6013304001","2013","9"
"376","6013304002","2013","9"
"377","6013304003","2013","7"
"378","6013304004","2013","7"
"379","6013304005","2013","9"
"380","6013305000","2013","10"
"381","6013306002","2013","9"
"382","6013306003","2013","9"
"383","6013306004","2013","9"
"384","6013307101","2013","9"
"385","6013307102","2013","10"
"386","6013307201","2013","1"
"387","6013307202","2013","1"
"388","6013307204","2013","9"
"389","6013307205","2013","9"
"390","6013308001","2013","9"
"391","6013308002","2013","9"
"392","6013309000","2013","1"
"393","6013310000","2013","10"
"394","6013311000","2013","10"
"395","6013312000","2013","1"
"396","6013313101","2013","9"
"397","6013313102","2013","9"
"398","6013313103","2013","9"
"399","6013313203","2013","9"
"400","6013313204","2013","9"
"401","6013313205","2013","9"
"402","6013313206","2013","10"
"403","6013314102","2013","10"
"404","6013314103","2013","10"
"405","6013314104","2013","10"
"406","6013314200","2013","10"
"407","6013315000","2013","9"
"408","6013316000","2013","1"
"409","6013317000","2013","7"
"410","6013318000","2013","7"
"411","6013319000","2013","9"
"412","6013320001","2013","9"
"413","6013320003","2013","7"
"414","6013320004","2013","7"
"415","6013321101","2013","7"
"416","6013321102","2013","7"
"417","6013321103","2013","7"
"418","6013321200","2013","6"
"419","6013322000","2013","7"
"420","6013323000","2013","9"
"421","6013324001","2013","2"
"422","6013324002","2013","6"
"423","6013325000","2013","7"
"424","6013326000","2013","7"
"425","6013327000","2013","9"
"426","6013328000","2013","6"
"427","6013329000","2013","9"
"428","6013330000","2013","9"
"429","6013331000","2013","9"
"430","6013332000","2013","9"
"431","6013333101","2013","9"
"432","6013333102","2013","9"
"433","6013333200","2013","9"
"434","6013334001","2013","9"
"435","6013334004","2013","9"
"436","6013334006","2013","7"
"437","6013334200","2013","7"
"438","6013335000","2013","9"
"439","6013336101","2013","10"
"440","6013336102","2013","10"
"441","6013336201","2013","10"
"442","6013336202","2013","10"
"443","6013337100","2013","7"
"444","6013337200","2013","9"
"445","6013337300","2013","7"
"446","6013338101","2013","10"
"447","6013338102","2013","9"
"448","6013338201","2013","7"
"449","6013338203","2013","2"
"450","6013338204","2013","7"
"451","6013338301","2013","7"
"452","6013338302","2013","8"
"453","6013339001","2013","6"
"454","6013339002","2013","2"
"455","6013340001","2013","7"
"456","6013340002","2013","7"
"457","6013341000","2013","7"
"458","6013343001","2013","7"
"459","6013343002","2013","7"
"460","6013343003","2013","7"
"461","6013345101","2013","7"
"462","6013345102","2013","7"
"463","6013345103","2013","7"
"464","6013345105","2013","7"
"465","6013345108","2013","8"
"466","6013345111","2013","4"
"467","6013345112","2013","4"
"468","6013345113","2013","8"
"469","6013345114","2013","7"
"470","6013345115","2013","7"
"471","6013345116","2013","4"
"472","6013345202","2013","4"
"473","6013345203","2013","7"
"474","6013345204","2013","7"
"475","6013346101","2013","8"
"476","6013346102","2013","8"
"477","6013346201","2013","8"
"478","6013346203","2013","7"
"479","6013346204","2013","8"
"480","6013347000","2013","8"
"481","6013348000","2013","8"
"482","6013349000","2013","7"
"483","6013350000","2013","7"
"484","6013351101","2013","7"
"485","6013351102","2013","7"
"486","6013351103","2013","7"
"487","6013351200","2013","8"
"488","6013352101","2013","9"
"489","6013352102","2013","8"
"490","6013352201","2013","7"
"491","6013352202","2013","7"
"492","6013353001","2013","8"
"493","6013353002","2013","8"
"494","6013354001","2013","8"
"495","6013354002","2013","8"
"496","6013355107","2013","9"
"497","6013355108","2013","9"
"498","6013355109","2013","9"
"499","6013355110","2013","10"
"500","6013355111","2013","9"
"501","6013355112","2013","8"
"502","6013355113","2013","8"
"503","6013355114","2013","4"
"504","6013355115","2013","4"
"505","6013355116","2013","4"
"506","6013355117","2013","4"
"507","6013355200","2013","9"
"508","6013355301","2013","7"
"509","6013355302","2013","8"
"510","6013355304","2013","7"
"511","6013355306","2013","7"
"512","6013356001","2013","9"
"513","6013356002","2013","7"
"514","6013357000","2013","7"
"515","6013358000","2013","9"
"516","6013359102","2013","9"
"517","6013359103","2013","7"
"518","6013359104","2013","9"
"519","6013359105","2013","9"
"520","6013359202","2013","7"
"521","6013359203","2013","9"
"522","6013359204","2013","9"
"523","6013360101","2013","7"
"524","6013360102","2013","7"
"525","6013360200","2013","9"
"526","6013361000","2013","9"
"527","6013362000","2013","9"
"528","6013363000","2013","9"
"529","6013364002","2013","9"
"530","6013365002","2013","10"
"531","6013365003","2013","1"
"532","6013366001","2013","10"
"533","6013366002","2013","10"
"534","6013367100","2013","1"
"535","6013367200","2013","10"
"536","6013368001","2013","10"
"537","6013368002","2013","10"
"538","6013369001","2013","1"
"539","6013369002","2013","9"
"540","6013370000","2013","7"
"541","6013371000","2013","9"
"542","6013372000","2013","10"
"543","6013373000","2013","10"
"544","6013374000","2013","10"
"545","6013375000","2013","10"
"546","6013376000","2013","10"
"547","6013377000","2013","10"
"548","6013378000","2013","7"
"549","6013379000","2013","1"
"550","6013380000","2013","1"
"551","6013381000","2013","1"
"552","6013382000","2013","1"
"553","6013383000","2013","6"
"554","6013384000","2013","7"
"555","6013385100","2013","8"
"556","6013385200","2013","7"
"557","6013386000","2013","6"
"558","6013387000","2013","7"
"559","6013388000","2013","6"
"560","6013389100","2013","6"
"561","6013389200","2013","6"
"562","6013390100","2013","7"
"563","6013390200","2013","8"
"564","6013391000","2013","8"
"565","6013392000","2013","8"
"566","6013392200","2013","9"
"567","6013392300","2013","9"
"568","6041101100","2013","7"
"569","6041101200","2013","7"
"570","6041102100","2013","7"
"571","6041102202","2013","9"
"572","6041102203","2013","9"
"573","6041103100","2013","7"
"574","6041103200","2013","7"
"575","6041104101","2013","7"
"576","6041104102","2013","9"
"577","6041104200","2013","7"
"578","6041104300","2013","7"
"579","6041105000","2013","9"
"580","6041106001","2013","7"
"581","6041106002","2013","9"
"582","6041107000","2013","7"
"583","6041108100","2013","7"
"584","6041108200","2013","7"
"585","6041109001","2013","6"
"586","6041109002","2013","7"
"587","6041110100","2013","7"
"588","6041110200","2013","8"
"589","6041111000","2013","7"
"590","6041112100","2013","9"
"591","6041112201","2013","10"
"592","6041112202","2013","10"
"593","6041113000","2013","7"
"594","6041114100","2013","7"
"595","6041114200","2013","7"
"596","6041115000","2013","7"
"597","6041116000","2013","7"
"598","6041117000","2013","7"
"599","6041118100","2013","8"
"600","6041119100","2013","8"
"601","6041119201","2013","7"
"602","6041119202","2013","8"
"603","6041120000","2013","8"
"604","6041121100","2013","7"
"605","6041121200","2013","7"
"606","6041123000","2013","8"
"607","6041124100","2013","8"
"608","6041124200","2013","8"
"609","6041125000","2013","8"
"610","6041126100","2013","8"
"611","6041126200","2013","8"
"612","6041127000","2013","8"
"613","6041128100","2013","7"
"614","6041128200","2013","8"
"615","6041129000","2013","1"
"616","6041130201","2013","8"
"617","6041130202","2013","7"
"618","6041131100","2013","8"
"619","6041132100","2013","7"
"620","6041132200","2013","7"
"621","6041133000","2013","7"
"622","6055200201","2013","9"
"623","6055200202","2013","6"
"624","6055200203","2013","9"
"625","6055200301","2013","10"
"626","6055200302","2013","9"
"627","6055200400","2013","7"
"628","6055200501","2013","10"
"629","6055200503","2013","10"
"630","6055200504","2013","10"
"631","6055200505","2013","9"
"632","6055200601","2013","9"
"633","6055200602","2013","7"
"634","6055200703","2013","7"
"635","6055200704","2013","9"
"636","6055200705","2013","9"
"637","6055200706","2013","7"
"638","6055200707","2013","7"
"639","6055200802","2013","9"
"640","6055200803","2013","7"
"641","6055200804","2013","10"
"642","6055200900","2013","1"
"643","6055201003","2013","4"
"644","6055201004","2013","9"
"645","6055201005","2013","9"
"646","6055201006","2013","9"
"647","6055201007","2013","9"
"648","6055201101","2013","7"
"649","6055201102","2013","7"
"650","6055201200","2013","7"
"651","6055201300","2013","7"
"652","6055201401","2013","7"
"653","6055201402","2013","7"
"654","6055201403","2013","7"
"655","6055201500","2013","7"
"656","6055201601","2013","7"
"657","6055201602","2013","7"
"658","6055201700","2013","9"
"659","6055201800","2013","7"
"660","6055201900","2013","7"
"661","6055202000","2013","7"
"662","6075010100","2013","2"
"663","6075010200","2013","2"
"664","6075010300","2013","2"
"665","6075010400","2013","2"
"666","6075010500","2013","2"
"667","6075010600","2013","5"
"668","6075010700","2013","5"
"669","6075010800","2013","5"
"670","6075010900","2013","2"
"671","6075011000","2013","5"
"672","6075011100","2013","5"
"673","6075011200","2013","2"
"674","6075011300","2013","5"
"675","6075011700","2013","2"
"676","6075011800","2013","5"
"677","6075011901","2013","5"
"678","6075011902","2013","5"
"679","6075012000","2013","5"
"680","6075012100","2013","5"
"681","6075012201","2013","5"
"682","6075012202","2013","5"
"683","6075012301","2013","5"
"684","6075012302","2013","5"
"685","6075012401","2013","5"
"686","6075012402","2013","2"
"687","6075012501","2013","5"
"688","6075012502","2013","5"
"689","6075012601","2013","2"
"690","6075012602","2013","2"
"691","6075012700","2013","2"
"692","6075012800","2013","2"
"693","6075012901","2013","2"
"694","6075012902","2013","2"
"695","6075013000","2013","2"
"696","6075013101","2013","2"
"697","6075013102","2013","2"
"698","6075013200","2013","8"
"699","6075013300","2013","8"
"700","6075013400","2013","2"
"701","6075013500","2013","2"
"702","6075015100","2013","2"
"703","6075015200","2013","2"
"704","6075015300","2013","2"
"705","6075015400","2013","2"
"706","6075015500","2013","2"
"707","6075015600","2013","2"
"708","6075015700","2013","2"
"709","6075015801","2013","2"
"710","6075015802","2013","2"
"711","6075015900","2013","2"
"712","6075016000","2013","2"
"713","6075016100","2013","1"
"714","6075016200","2013","2"
"715","6075016300","2013","2"
"716","6075016400","2013","2"
"717","6075016500","2013","2"
"718","6075016600","2013","2"
"719","6075016700","2013","2"
"720","6075016801","2013","2"
"721","6075016802","2013","3"
"722","6075016900","2013","2"
"723","6075017000","2013","3"
"724","6075017101","2013","2"
"725","6075017102","2013","2"
"726","6075017601","2013","2"
"727","6075017700","2013","2"
"728","6075017801","2013","5"
"729","6075017802","2013","2"
"730","6075017902","2013","1"
"731","6075018000","2013","2"
"732","6075020100","2013","5"
"733","6075020200","2013","5"
"734","6075020300","2013","3"
"735","6075020401","2013","3"
"736","6075020402","2013","3"
"737","6075020500","2013","3"
"738","6075020600","2013","3"
"739","6075020700","2013","3"
"740","6075020800","2013","5"
"741","6075020900","2013","5"
"742","6075021000","2013","2"
"743","6075021100","2013","3"
"744","6075021200","2013","3"
"745","6075021300","2013","3"
"746","6075021400","2013","3"
"747","6075021500","2013","3"
"748","6075021600","2013","3"
"749","6075021700","2013","3"
"750","6075021800","2013","2"
"751","6075022600","2013","3"
"752","6075022702","2013","2"
"753","6075022704","2013","2"
"754","6075022801","2013","2"
"755","6075022802","2013","2"
"756","6075022803","2013","5"
"757","6075022901","2013","5"
"758","6075022902","2013","2"
"759","6075022903","2013","3"
"760","6075023001","2013","1"
"761","6075023003","2013","1"
"762","6075023102","2013","1"
"763","6075023103","2013","1"
"764","6075023200","2013","1"
"765","6075023300","2013","6"
"766","6075023400","2013","10"
"767","6075025100","2013","3"
"768","6075025200","2013","3"
"769","6075025300","2013","2"
"770","6075025401","2013","6"
"771","6075025402","2013","3"
"772","6075025403","2013","6"
"773","6075025500","2013","6"
"774","6075025600","2013","6"
"775","6075025701","2013","6"
"776","6075025702","2013","6"
"777","6075025800","2013","6"
"778","6075025900","2013","6"
"779","6075026001","2013","6"
"780","6075026002","2013","6"
"781","6075026003","2013","10"
"782","6075026004","2013","10"
"783","6075026100","2013","6"
"784","6075026200","2013","6"
"785","6075026301","2013","6"
"786","6075026302","2013","6"
"787","6075026303","2013","6"
"788","6075026401","2013","6"
"789","6075026402","2013","6"
"790","6075026403","2013","6"
"791","6075026404","2013","1"
"792","6075030101","2013","2"
"793","6075030102","2013","3"
"794","6075030201","2013","2"
"795","6075030202","2013","2"
"796","6075030301","2013","2"
"797","6075030302","2013","4"
"798","6075030400","2013","8"
"799","6075030500","2013","7"
"800","6075030600","2013","8"
"801","6075030700","2013","3"
"802","6075030800","2013","8"
"803","6075030900","2013","8"
"804","6075031000","2013","7"
"805","6075031100","2013","6"
"806","6075031201","2013","6"
"807","6075031202","2013","6"
"808","6075031301","2013","6"
"809","6075031302","2013","6"
"810","6075031400","2013","6"
"811","6075032601","2013","6"
"812","6075032602","2013","6"
"813","6075032700","2013","6"
"814","6075032801","2013","6"
"815","6075032802","2013","6"
"816","6075032901","2013","6"
"817","6075032902","2013","6"
"818","6075033000","2013","6"
"819","6075033100","2013","4"
"820","6075033201","2013","2"
"821","6075033203","2013","6"
"822","6075033204","2013","2"
"823","6075035100","2013","6"
"824","6075035201","2013","6"
"825","6075035202","2013","6"
"826","6075035300","2013","6"
"827","6075035400","2013","6"
"828","6075040100","2013","2"
"829","6075040200","2013","2"
"830","6075042601","2013","2"
"831","6075042602","2013","2"
"832","6075042700","2013","2"
"833","6075042800","2013","8"
"834","6075045100","2013","2"
"835","6075045200","2013","2"
"836","6075047600","2013","2"
"837","6075047701","2013","2"
"838","6075047702","2013","6"
"839","6075047801","2013","6"
"840","6075047802","2013","2"
"841","6075047901","2013","6"
"842","6075047902","2013","6"
"843","6075060100","2013","8"
"844","6075060400","2013","6"
"845","6075060502","2013","1"
"846","6075060700","2013","2"
"847","6075061000","2013","6"
"848","6075061100","2013","5"
"849","6075061200","2013","1"
"850","6075061400","2013","2"
"851","6075061500","2013","2"
"852","6075980200","2013","7"
"853","6075980300","2013","3"
